"id","level","prompt","correct","distractor1","distractor2","distractor3"
"grammar-l1-1","1","What is the smallest unit of language that has meaning?","Word","Letter","Sound","Syllable"
"grammar-l1-2","1","How many vowels are there in the English alphabet?","5","3","7","4"
"grammar-l1-3","1","What do we call a word that means the opposite of another word?","Antonym","Synonym","Homonym","Palindrome"
"grammar-l1-4","1","What is a word that sounds the same as another word but has a different meaning called?","Homophone","Homonym","Homograph","Homoform"
"grammar-l1-5","1","Which part of speech describes a person, place, or thing?","Noun","Verb","Adjective","Adverb"
"grammar-l1-6","1","What is a word that takes the place of a noun called?","Pronoun","Preposition","Conjunction","Article"
"grammar-l1-7","1","Which part of speech shows action or state of being?","Verb","Adjective","Noun","Adverb"
"grammar-l1-8","1","What word describes or modifies a noun?","Adjective","Adverb","Conjunction","Preposition"
"grammar-l1-9","1","What punctuation mark comes at the end of a statement?","Period","Question mark","Comma","Semicolon"
"grammar-l1-10","1","What punctuation mark is used to ask a question?","Question mark","Exclamation point","Period","Comma"
"grammar-l1-11","1","What mark separates items in a list?","Comma","Semicolon","Colon","Dash"
"grammar-l1-12","1","What do we call a sentence that expresses strong emotion?","Exclamatory sentence","Interrogative sentence","Imperative sentence","Declarative sentence"
"grammar-l1-13","1","What is a group of words that form a complete thought?","Sentence","Phrase","Clause","Fragment"
"grammar-l1-14","1","What is a group of words without a subject or verb called?","Phrase","Sentence","Clause","Period"
"grammar-l1-15","1","What is the first word of a sentence always capitalized as?","Capitalized","Lowercase","Italicized","Underlined"
"grammar-l1-16","1","How many letters are in the English alphabet?","26","24","28","25"
"grammar-l1-17","1","What do we call words that have the same spelling and pronunciation but different meanings?","Homographs","Homophones","Synonyms","Antonyms"
"grammar-l1-18","1","What is a word that has the same meaning as another word?","Synonym","Antonym","Homonym","Metaphor"
"grammar-l1-19","1","What connects two independent clauses or related items in a list?","Conjunction","Preposition","Interjection","Article"
"grammar-l1-20","1","What modifies or describes a verb, adjective, or another adverb?","Adverb","Adjective","Noun","Article"
"grammar-l1-21","1","What shows the relationship between a noun and other words in a sentence?","Preposition","Conjunction","Interjection","Article"
"grammar-l1-22","1","What is the word 'the' classified as?","Article","Preposition","Adjective","Pronoun"
"grammar-l1-23","1","What do we call a short exclamation expressing emotion?","Interjection","Conjunction","Preposition","Article"
"grammar-l1-24","1","What is the subject of a sentence?","The person or thing performing the action","The action being performed","The punctuation used","The adjective describing the action"
"grammar-l1-25","1","What is the predicate of a sentence?","The verb and what the subject does","The subject of the sentence","The punctuation mark","The adjective in the sentence"
"grammar-l1-26","1","What is a word formed by combining two words?","Compound word","Prefix","Suffix","Root word"
"grammar-l1-27","1","What is a letter or group of letters added to the beginning of a word?","Prefix","Suffix","Root","Compound"
"grammar-l1-28","1","What is a letter or group of letters added to the end of a word?","Suffix","Prefix","Root","Compound"
"grammar-l1-29","1","What is the main part of a word that gives it meaning?","Root","Prefix","Suffix","Compound"
"grammar-l1-30","1","What tense describes an action happening right now?","Present tense","Past tense","Future tense","Perfect tense"
"grammar-l1-31","1","What tense describes an action that already happened?","Past tense","Present tense","Future tense","Conditional tense"
"grammar-l1-32","1","What tense describes an action that will happen later?","Future tense","Present tense","Past tense","Continuous tense"
"grammar-l1-33","1","What is a noun that names a specific person, place, or thing called?","Proper noun","Common noun","Abstract noun","Collective noun"
"grammar-l1-34","1","What is a noun that names a general person, place, or thing?","Common noun","Proper noun","Concrete noun","Collective noun"
"grammar-l1-35","1","What type of noun names something you cannot see or touch?","Abstract noun","Concrete noun","Proper noun","Collective noun"
"grammar-l1-36","1","What type of noun names something you can see or touch?","Concrete noun","Abstract noun","Proper noun","Collective noun"
"grammar-l1-37","1","What is a noun that represents a group of people or things called?","Collective noun","Abstract noun","Common noun","Singular noun"
"grammar-l1-38","1","What is the form of a verb that shows it has been completed?","Perfect aspect","Simple aspect","Continuous aspect","Progressive aspect"
"grammar-l1-39","1","What is a statement that can be true or false?","Sentence","Phrase","Clause","Fragment"
"grammar-l1-40","1","Which ancient language is the origin of most English words?","Latin","Greek","German","French"
"grammar-l1-41","1","What language did the Romans speak?","Latin","Italian","Spanish","Portuguese"
"grammar-l1-42","1","Which language family does English belong to?","Indo-European","Sino-Tibetan","Afro-Asiatic","Austronesian"
"grammar-l1-43","1","What was the language spoken in England before the Norman Conquest?","Old English","Middle English","Proto-English","Anglo-Saxon English"
"grammar-l1-44","1","In what year did the Norman Conquest of England occur?","1066","1086","1046","1106"
