"id","level","prompt","correct","distractor1","distractor2","distractor3"
"history-l1-1","1","Which ancient civilization built the Great Pyramids?","Egypt","Greece","Rome","Mesopotamia"
"history-l1-2","1","What was the most famous structure built in ancient Rome?","The Colosseum","The Parthenon","The Lighthouse of Alexandria","The Great Sphinx"
"history-l1-3","1","Which pharaoh is most famous for his tomb in the Valley of the Kings?","Tutankhamun","Ramesses II","Khufu","Thutmose III"
"history-l1-4","1","What was the capital of ancient Egypt during the New Kingdom?","Thebes","Memphis","Alexandria","Heliopolis"
"history-l1-5","1","Which Greek city-state was known for its military power?","Sparta","Athens","Corinth","Thebes"
"history-l1-6","1","Who was the most famous philosopher of ancient Athens?","Socrates","Homer","Archimedes","Euclid"
"history-l1-7","1","What was the main governing body in ancient Athens?","The Assembly","The Senate","The Council of Elders","The Tribunal"
"history-l1-8","1","Which Roman emperor was famous for building Hadrian's Wall?","Hadrian","Augustus","Nero","Trajan"
"history-l1-9","1","What was the primary language spoken in ancient Rome?","Latin","Greek","Egyptian","Etruscan"
"history-l1-10","1","Who was the first emperor of Rome?","Augustus","Julius Caesar","Pompey","Tiberius"
"history-l1-11","1","What was the name of the famous Roman road system?","The Appian Way","The Egyptian Way","The Greek Road","The Silk Path"
"history-l1-12","1","Which Egyptian queen was known for her relationship with Julius Caesar?","Cleopatra VII","Nefertiti","Hatshepsut","Nefertari"
"history-l1-13","1","What did ancient Egyptians use papyrus for?","Writing","Building houses","Making weapons","Creating pottery"
"history-l1-14","1","Which ancient Egyptian monument was a tomb for Pharaoh Khufu?","The Great Pyramid of Giza","The Temple of Karnak","The Abu Simbel Temple","The Sphinx"
"history-l1-15","1","What sport was popular in ancient Greece?","Olympic games","Chariot racing","Gladiator fights","Wrestling"
"history-l1-16","1","Which Greek philosopher created a school called the Academy?","Plato","Aristotle","Socrates","Pythagoras"
"history-l1-17","1","What was the Roman forum primarily used for?","Public meetings and commerce","Religious ceremonies","Military training","Gladiator battles"
"history-l1-18","1","Which pharaoh built the second largest pyramid at Giza?","Khafre","Khufu","Menkaure","Pepi II"
"history-l1-19","1","What was the primary river in ancient Egypt?","The Nile River","The Tigris River","The Euphrates River","The Danube River"
"history-l1-20","1","Which Roman general conquered Egypt and became dictator?","Julius Caesar","Pompey","Antony","Octavian"
"history-l1-21","1","What did the ancient Greeks use for writing?","Parchment and paper","Stone tablets only","Clay tablets only","Wood and bark"
"history-l1-22","1","Which Egyptian dynasty built most of the pyramids?","The Old Kingdom","The Middle Kingdom","The New Kingdom","The Ptolemaic Period"
"history-l1-23","1","What was a major achievement of the Roman Empire?","Building an extensive road network","Inventing the wheel","Creating the first alphabet","Building the Great Wall"
"history-l1-24","1","Which Greek city-state was the birthplace of democracy?","Athens","Sparta","Corinth","Thebes"
"history-l1-25","1","What were the Twelve Tables in ancient Rome?","The first written law code","Religious texts","A list of emperors","A guide to construction"
"history-l1-26","1","Which pharaoh is known for moving the capital to Amarna?","Akhenaten","Amenhotep III","Tutankhamun","Seti I"
