"id","level","prompt","correct","distractor1","distractor2","distractor3"
"zoology-l1-1","1","Hvor mange ben har en insekt?","Seks","Åtte","Fire","Ti"
"zoology-l1-2","1","Hvilken type dyr er en frosk?","Amfibie","Reptil","Fisk","Pattedyr"
"zoology-l1-3","1","Hva spiser en løve som hovedmat?","Kjøtt","Gress","Insekter","Frø"
"zoology-l1-4","1","Hvor mange hjørner har en fisk?","Null","Fire","To","Seks"
"zoology-l1-5","1","Hvilken farge er de fleste fugler som lever i regnskogen?","Fargerike","Grå","Hvit","Sort"
"zoology-l1-6","1","Hva er det største dyret som lever på jorden?","Blåhvalen","Elefanten","Giraffens","Hippopotamus"
"zoology-l1-7","1","Hvor mange øyne har en edderkopp?","Åtte","Seks","Fire","To"
"zoology-l1-8","1","Hva bruker en slange til å lukte?","Tunge","Nese","Øre","Øye"
"zoology-l1-9","1","Hvor mange kamre har et fuglehjertet?","Fire","To","Tre","Fem"
"zoology-l1-10","1","Hvilken type dyr er en delfin?","Pattedyr","Fisk","Reptil","Amfibie"
"zoology-l1-11","1","Hva er det minste dyret på jorden?","Vaxtlus","Maur","Fruktflue","Loppe"
"zoology-l1-12","1","Hvor mange tenger har en elefant?","To","Fire","Tre","Seks"
"zoology-l1-13","1","Hvilken dyreart har det største hjertet?","Blåhval","Elefant","Giraff","Næshorn"
"zoology-l1-14","1","Hva bruker en katt til å balansere?","Halen","Øynene","Ørene","Beina"
"zoology-l1-15","1","Hvor mange ryggvirvler har en menneske?","Trettitre","Tjueseks","Førtito","Tjueto"
"zoology-l1-16","1","Hva er det største krypdyret på jorden?","Saltvannskrokodille","Anakonda","Komodovaran","Alligator"
"zoology-l1-17","1","Hvor mange arter av pingviner finnes det omtrent?","Atten","Tolv","Tjuefem","Tretti"
"zoology-l1-18","1","Hvilken type dyr er en flaggermus?","Pattedyr","Fugl","Insekt","Reptil"
"zoology-l1-19","1","Hva spiser en panda som hovedmat?","Bambus","Blader","Bark","Røtter"
"zoology-l1-20","1","Hvor mange tanner har en voksen menneske?","Trettito","Tjueto","Trettifem","Tjueåtte"
"zoology-l1-21","1","Hva er det eneste pattedyret som legger egg?","Nebbdyr","Kanin","Ilder","Pinnsvin"
"zoology-l1-22","1","Hvor mange ben har en edderkopp i forhold til insekter?","To flere","En færre","Fire flere","Tre flere"
"zoology-l1-23","1","Hva bruker en orm til å bevege seg?","Muskulatur","Ben","Finner","Hale"
"zoology-l1-24","1","Hvor mange arter av mennesker finnes det?","En","To","Tre","Fire"
"zoology-l1-25","1","Hva er det største insektet på jorden?","Titanusbille","Sommerfugl","Maur","Bred"
"zoology-l1-26","1","Hvilken type dyr er en skilpadde?","Reptil","Amfibie","Pattedyr","Fisk"
"zoology-l1-27","1","Hvor mange åtepunkter har en sjøstjerne?","Fem","Tre","Seks","Fire"
"zoology-l1-28","1","Hva spiser en kolibri?","Blomstermøll","Frø","Insekter","Frukt"
"zoology-l1-29","1","Hvor mange øre har en menneske?","To","En","Tre","Fire"
"zoology-l1-30","1","Hva er det minste pattedyret på jorden?","Nedslått flaggermus","Spissmus","Lemur","Ilder"
"zoology-l1-31","1","Hvor mange ben har en sjøhest?","Null","To","Fire","Seks"
"zoology-l1-32","1","Hva bruker en løve til å kommunisere?","Brøling","Skrik","Fnysing","Tisling"
"zoology-l1-33","1","Hvor mange øyne har en hu?","To","En","Tre","Fire"
"zoology-l1-34","1","Hvilken type dyr er en kobraslange?","Reptil","Amfibie","Insekt","Pattedyr"
"zoology-l1-35","1","Hva er det raskeste dyret på land?","Gepard","Løpe","Antilope","Hest"
"zoology-l1-36","1","Hvor mange kamre har et menneskets hjerte?","Fire","To","Tre","Fem"
"zoology-l1-37","1","Hva spiser en koala som hovedmat?","Eukalyptusblader","Gress","Bark","Frukt"
"zoology-l1-38","1","Hvor mange arter av kameler finnes det?","To","En","Tre","Fire"
"zoology-l1-39","1","Hva bruker en hundefisk til å navigere?","Fluidfølelse","Syn","Lukt","Hørsel"
"zoology-l1-40","1","Hvor mange tasser har en kat?","Fire","To","Tre","Fem"
"zoology-l1-41","1","Hvilken naturvitenskapsmann er kjent for å ha klassifisert dyr i sitt system fra 1700-tallet?","Carl Linnaeus","Charles Darwin","Jean-Baptiste Lamarck","Georges Cuvier"
