"id","level","prompt","correct","distractor1","distractor2","distractor3"
"grammar-l1-1","1","Hvor mange hovedsakelige ordklasser finnes det i norsk grammatikk?","10","8","12","6"
"grammar-l1-2","1","Hva kalles ordene som beskriver egenskaper ved substantiv?","Adjektiver","Verb","Adverb","Preposisjoner"
"grammar-l1-3","1","Hvilket ord er et pronomen i setningen 'Han spiser eplet sitt'?","Han","spiser","eplet","sitt"
"grammar-l1-4","1","Hva kalles ordet som angir handling eller tilstand?","Verb","Substantiv","Adjektiv","Artikkel"
"grammar-l1-5","1","Hvor mange genus har norske substantiv?","3","2","4","5"
"grammar-l1-6","1","Hvilket av disse ordene er et substantiv?","Hus","Rød","Løper","Veldig"
"grammar-l1-7","1","Hva kalles ordene som kobler ord eller setninger sammen?","Konjunksjoner","Preposisjoner","Adverb","Artikler"
"grammar-l1-8","1","Hvilket ord er en preposisjon?","Under","Gul","Kjører","Raskt"
"grammar-l1-9","1","Hva kalles det når et ord endrer form for å vise rolle i setningen?","Fleksjon","Derivasjon","Konjugasjon","Komposisjon"
"grammar-l1-10","1","Hvilket pronomen brukes når man snakker om seg selv?","Jeg","Du","Han","Vi"
"grammar-l1-11","1","Hva er infinitivformen av verbet 'går'?","Gå","Gikk","Gikk","Gagn"
"grammar-l1-12","1","Hvilken ordklasse beskriver hvordan noe gjøres?","Adverb","Adjektiv","Substantiv","Verb"
"grammar-l1-13","1","Hva kalles ordene 'en' og 'et' i norsk?","Artikler","Pronomen","Preposisjoner","Konjunksjoner"
"grammar-l1-14","1","Hvilket ord i setningen 'Den store hunden sprang' er et adjektiv?","Store","Hunden","Sprang","Den"
"grammar-l1-15","1","Hva kalles en setning som har ett subjekt og ett predikat?","Enkel setning","Kompleks setning","Sammensatt setning","Kjernsetning"
"grammar-l1-16","1","Hvilket ord er ikke et pronomen?","Bord","Jeg","Ham","Det"
"grammar-l1-17","1","Hva kalles ordets kjerne eller grunnform?","Rot","Affiks","Stamme","Endelse"
"grammar-l1-18","1","Hvilket verb er i presens (nåtid)?","Spiser","Spiste","Spist","Skal spise"
"grammar-l1-19","1","Hva kalles det når man legger til stavelser til en rotord?","Affigering","Fleksjon","Derivasjon","Komposisjon"
"grammar-l1-20","1","Hvilket ord er et numerale?","Tre","Blå","Løp","Der"
"grammar-l1-21","1","Hva kalles de små ordene som kommer foran substantiv?","Artikler","Interjeksjoner","Adverb","Konjunksjoner"
"grammar-l1-22","1","Hvilken ordklasse brukes til å gi navn på personer, steder eller ting?","Substantiv","Verb","Adjektiv","Adverb"
"grammar-l1-23","1","Hva kalles ordene som uttrykker følelser eller utrop?","Interjeksjoner","Substantiv","Pronomen","Preposisjoner"
"grammar-l1-24","1","Hvilket ord i 'jeg, du, han' er et personpronomen?","Du","Og","Med","Over"
"grammar-l1-25","1","Hva betyr det når et verb er i perfektum?","Fullført handling i fortid","Pågående handling nå","Fremtidig handling","Betinget handling"
"grammar-l1-26","1","Hvilket ord er en konjunksjon?","Og","Raskt","Bak","Grønn"
"grammar-l1-27","1","Hva kalles det når to ord blir ett ord?","Komposisjon","Derivasjon","Fleksjon","Affigering"
"grammar-l1-28","1","Hvilket ord i 'Hun løper fort' beskriver måten hun løper på?","Fort","Hun","Løper","Og"
"grammar-l1-29","1","Hva kalles det når et verb endrer form etter person?","Konjugasjon","Deklinasjon","Fleksjon","Komposisjon"
"grammar-l1-30","1","Hvilket ord er en preposisjon som angir sted?","I","Derfor","Eller","Svart"
"grammar-l1-31","1","Hva kalles substantivets form når det fungerer som handlingsgjennomfører?","Nominativ","Genitiv","Akkusativ","Lokativ"
"grammar-l1-32","1","Hvilket pronomen brukes når man refererer til flere personer sammen med seg selv?","Vi","De","Dem","Dere"
"grammar-l1-33","1","Hva kalles det når et verb ikke endrer form?","Defektivt verb","Modalt verb","Hjelpeverb","Svakt verb"
"grammar-l1-34","1","Hvilket ord er et demonstrativt pronomen?","Denne","Noen","Alle","Ingen"
"grammar-l1-35","1","Hva kalles ordets del som endrer seg etter personer og tider?","Endelse","Rot","Stamme","Affiks"
"grammar-l1-36","1","Hvilket verb er i preteritum (fortid)?","Sang","Synger","Sunget","Skal synge"
"grammar-l1-37","1","Hva kalles det når ord eller setninger gjentas?","Repetisjon","Metafor","Allitterasjon","Personifikasjon"
"grammar-l1-38","1","Hvilket ord brukes for å spørre om noe?","Hva","Nei","Ja","Kanskje"
"grammar-l1-39","1","Hva kalles et pronomen som refererer tilbake til subjektet?","Refleksivt pronomen","Relativ pronomen","Interrogativt pronomen","Demonstrativt pronomen"
"grammar-l1-40","1","Hvilket ord i 'jeg liker dine sko' er et possessivt pronomen?","Dine","Jeg","Liker","Sko"
"grammar-l1-41","1","Hvilken gammelt språk er norsk avledet fra?","Oldnorsk","Latin","Oldengelsk","Oldfransk"
"grammar-l1-42","1","Når ble norsk offisielt anerkjent som eget språk skilt fra dansk?","1814","1905","1885","1771"
