"id","level","prompt","correct","distractor1","distractor2","distractor3"
"science-l1-1","1","Hva er den minste enheten av liv som kan eksistere alene?","Celle","Atom","Molekyl","Gen"
"science-l1-2","1","Hvilken organelle produserer energi i cellen?","Mitokondrie","Ribosom","Lysosom","Golgiapparat"
"science-l1-3","1","Hva kalles cellemembranen som omgir kjerner i eukaryotiske celler?","Kjernemembranen","Plasmamembranen","Mitokondriemembranen","Chloroplastmembranen"
"science-l1-4","1","Hvilket stoff er DNA oppbygd av?","Nukleotider","Proteiner","Lipider","Karbonhydrater"
"science-l1-5","1","Hva er hovedfunksjonen til ribosomer?","Å produsere proteiner","Å lagre energi","Å bryte ned avfall","Å transportere stoffer"
"science-l1-6","1","Hvilken type celle har ikke cellekjerne?","Prokaryotisk celle","Plantecelle","Dyrecelle","Eukaryotisk celle"
"science-l1-7","1","Hvor befinner DNA seg i eukaryotiske celler?","I cellekjernen","I mitokondrien","I ribosomene","I cellemembranen"
"science-l1-8","1","Hva kalles de små organeller som bryter ned avfallsstoffer i cellen?","Lysosomer","Peroksisomer","Vakuoler","Endoplasmatisk nettverk"
"science-l1-9","1","Hvilken organelle er ansvarlig for å lage og pakke proteiner?","Golgiapparat","Endoplasmatisk nettverk","Mitokondrie","Ribosom"
"science-l1-10","1","Hva er celledelingen som produserer kjønnsceller kalt?","Meiose","Mitose","Fosforilering","Fotosyntese"
"science-l1-11","1","Hvilken type organelle finner man kun i planteceller?","Chloroplast","Mitokondrie","Ribosom","Lysosom"
"science-l1-12","1","Hva kalles den flytende delen inne i cellen som omgir organellene?","Cytoplasma","Nukleoplasma","Cellevegg","Plasmamembran"
"science-l1-13","1","Hvor mange kromosom har mennesket?","46","23","92","48"
"science-l1-14","1","Hva er hovedfunksjonen til cellemembranen?","Å kontrollere hva som går inn og ut av cellen","Å produsere energi","Å lagre DNA","Å lage proteiner"
"science-l1-15","1","Hvilken organelle kalles også for cellets 'kraftverk'?","Mitokondrie","Ribosom","Chloroplast","Golgiapparat"
"science-l1-16","1","Hva er mitosen?","En celledelingstype som produserer to identiske datterceller","En type kjønnscelledelingn","En prosess som bryter ned DNA","En proteinproduksjonsprosess"
"science-l1-17","1","Hvilken organelle produserer ATP som energikilde?","Mitokondrie","Chloroplast","Endoplasmatisk nettverk","Sentralvakuole"
"science-l1-18","1","Hva er en sentralvakuole funksjon i planteceller?","Å lagre vann og næringsstoffer","Å produsere energi","Å lage proteiner","Å bryte ned avfall"
"science-l1-19","1","Hvilket molekyl bærer genetisk informasjon i celler?","DNA","Protein","Fett","Sukker"
"science-l1-20","1","Hva kalles celledelingen som produserer somatiske celler?","Mitose","Meiose","Binær fisjon","Knoppedeling"
"science-l1-21","1","Hvor finner man ribosomer i cellen?","I cytoplasma og på endoplasmatisk nettverk","Kun i cellekjernen","Kun i mitokondrien","I vakuolen"
"science-l1-22","1","Hva er hovedfunksjonen til endoplasmatisk nettverk?","Å produsere og transportere proteiner og lipider","Å produsere energi","Å bryte ned DNA","Å lagre vann"
"science-l1-23","1","Hvilken organelle finnes kun i dyreCeller?","Sentriol","Chloroplast","Cellevegg","Sentralvakuole"
"science-l1-24","1","Hva består celleveggen i planteceller av?","Cellulose","Protein","Kitin","Lipid"
"science-l1-25","1","Hva er nukleolus funksjon?","Å produsere ribosomalt RNA","Å lagre DNA","Å produsere proteiner","Å bryte ned fett"
"science-l1-26","1","Hvilken organelle transporterer og modifiserer proteiner?","Golgiapparat","Endoplasmatisk nettverk","Lysosom","Peroksissom"
"science-l1-27","1","Hva kalles prosessen hvor celler deler seg?","Celledelingn","Fotosyntese","Respirasjon","Transpirasjons"
"science-l1-28","1","Hvilken type celler kan dele seg uendelig mange ganger?","Stamceller","Nerveceller","Muskelceller","Røde blodceller"
"science-l1-29","1","Hva er forskjellen mellom prokaryoter og eukaryoter?","Prokaryoter mangler cellekjerne","Prokaryoter har flere mitokondrier","Eukaryoter har cellvegg","Prokaryoter har større celler"
"science-l1-30","1","Hva er en organelle?","En liten struktur med spesifikk funksjon inne i cellen","En type celle","En gruppe celler","Et protein"
"science-l1-31","1","Hvilken organelle kalles også for 'cellets hjerte'?","Cellekjernen","Mitokondrien","Ribosomene","Golgiapparatet"
"science-l1-32","1","Hva produserer planteceller som dyreCeller ikke gjør?","Glukose gjennom fotosyntese","Proteiner","DNA","ATP"
"science-l1-33","1","Hva er en gen?","En del av DNA som koder for et protein","En organelle","En type celle","Et lipid"
"science-l1-34","1","Hvilken organelle inneholder sitt eget DNA?","Mitokondrie","Ribosom","Golgiapparat","Lysosom"
"science-l1-35","1","Hva kalles små vesikler som transporterer stoffer i cellen?","Vesikler","Vakuoler","Organeller","Membraner"
"science-l1-36","1","Hvilken organelle brukes til fotosyntese i planteceller?","Chloroplast","Mitokondrie","Ribosom","Golgiapparat"
