"id","level","prompt","correct","distractor1","distractor2","distractor3"
"physics-l1-1","1","Hva er symbolet for gull i kjemien?","Au","Go","Gl","Gd"
"physics-l1-2","1","Hvor mange planeter er det i vårt solsystem?","8","9","10","7"
"physics-l1-3","1","Hva er SI-enheten for kraft?","Newton","Joule","Watt","Pascal"
"physics-l1-4","1","Hvor mange sekunder er det i ett minutt?","60","50","100","75"
"physics-l1-5","1","Hva er hastigheten på lyset i vakuum omtrent?","300 000 km/s","150 000 km/s","450 000 km/s","200 000 km/s"
"physics-l1-6","1","Hvilken planet er nærmest solen?","Merkur","Venus","Jorden","Mars"
"physics-l1-7","1","Hva er SI-enheten for temperatur?","Kelvin","Celsius","Fahrenheit","Rankine"
"physics-l1-8","1","Hvor mange timer er det i ett døgn?","24","20","25","30"
"physics-l1-9","1","Hva er SI-enheten for energi?","Joule","Erg","Kalori","Watt"
"physics-l1-10","1","Hvilken stjerne er nærmest jorden?","Solen","Sirius","Polstjerna","Proxima Centauri"
"physics-l1-11","1","Hva er SI-enheten for masse?","Kilogram","Gram","Pund","Unse"
"physics-l1-12","1","Hvor mange dager er det i ett år?","365","360","370","355"
"physics-l1-13","1","Hva er symbolet for eisen i kjemien?","Fe","Ei","In","Is"
"physics-l1-14","1","Hvilken planet har flest måner?","Jupiter","Saturn","Uranus","Neptun"
"physics-l1-15","1","Hva er SI-enheten for hastighet?","Meter per sekund","Kilometer per time","Knop","Miles per hour"
"physics-l1-16","1","Hvor mange grader er det i en full sirkel?","360","180","270","400"
"physics-l1-17","1","Hva er SI-enheten for elektrisk strøm?","Ampere","Volt","Ohm","Coulomb"
"physics-l1-18","1","Hvor mange minutter er det i en time?","60","50","75","100"
"physics-l1-19","1","Hva er symbolet for hydrogen i kjemien?","H","He","Ho","Hy"
"physics-l1-20","1","Hvilken planets måneskinn ser vi fra jorden?","Månen","Venus","Mars","Jupiter"
"physics-l1-21","1","Hva er SI-enheten for trykk?","Pascal","Bar","Atmosfære","PSI"
"physics-l1-22","1","Hvor mange sekunder er det i en time?","3600","3000","3500","4000"
"physics-l1-23","1","Hva er symbolet for karbon i kjemien?","C","Ca","Co","Ce"
"physics-l1-24","1","Hvilken planet er kjent for sine ringer?","Saturn","Jupiter","Uranus","Neptun"
"physics-l1-25","1","Hva er SI-enheten for effekt?","Watt","Joule","Volt","Newton"
"physics-l1-26","1","Hvor mange måneder er det i ett år?","12","10","13","11"
"physics-l1-27","1","Hva er symbolet for nitrogen i kjemien?","N","Ni","Ne","Na"
"physics-l1-28","1","Hvilken planet har atmosfære som ligner jordens mest?","Venus","Mars","Merkur","Saturn"
"physics-l1-29","1","Hva er SI-enheten for elektrisk spenning?","Volt","Ampere","Watt","Ohm"
"physics-l1-30","1","Hvor mange uker er det i ett år?","52","50","48","55"
"physics-l1-31","1","Hva er symbolet for oksygen i kjemien?","O","Ox","Og","Os"
"physics-l1-32","1","Hvilken planet kalles den røde planeten?","Mars","Venus","Merkur","Jupiter"
"physics-l1-33","1","Hva er SI-enheten for lengde?","Meter","Centimeter","Kilometer","Fot"
"physics-l1-34","1","Hvor mange dager er det i februar i et skuddår?","29","28","30","31"
"physics-l1-35","1","Hva er symbolet for natrium i kjemien?","Na","N","Nd","Ni"
"physics-l1-36","1","Hvilken planet er størst i vårt solsystem?","Jupiter","Saturn","Uranus","Neptun"
"physics-l1-37","1","Hva er SI-enheten for frekvens?","Hertz","Joule","Newton","Pascal"
"physics-l1-38","1","Hvor mange grader Celsius tilsvarer 0 Kelvin?","-273","-100","-459","-373"
"physics-l1-39","1","Hva er symbolet for klor i kjemien?","Cl","C","Cr","Ca"
"physics-l1-40","1","Hvilken måned har færrest dager?","Februar","April","Juni","September"
"physics-l1-41","1","Hvem er kjent for å ha oppdaget tyngdeloven?","Isaac Newton","Galileo Galilei","Johannes Kepler","René Descartes"
"physics-l1-42","1","I hvilket år falt Isaac Newton påplen som inspirerte ham til å tenke på tyngdekraft?","1666","1687","1665","1670"
"physics-l1-43","1","Hvem var den italienske fysikeren som eksperimenterte med fallende objekter fra skjeve tårn?","Galileo Galilei","Isaac Newton","Blaise Pascal","Christiaan Huygens"
"physics-l1-44","1","Hvilket århundre levde Galileo Galilei i hovedsak?","16. og 17. århundre","15. og 16. århundre","17. og 18. århundre","18. og 19. århundre"
"physics-l1-45","1","Hvem oppfant teleskopet som ble brukt til å observere stjerner og planeter?","Galileo Galilei","Isaac Newton","Christiaan Huygens","Johannes Kepler"
"physics-l1-46","1","Hvem formulerte de tre bevegelseslovene som er grunnlaget for klassisk mekanikk?","Isaac Newton","Albert Einstein","Galileo Galilei","Christiaan Huygens"
"physics-l1-47","1","I hvilket år publiserte Isaac Newton sitt viktige verk 'Principia Mathematica'?","1687","1666","1700","1704"
"physics-l1-48","1","Hvem utviklet teorien om elektromagnetisme på 1800-tallet?","James Clerk Maxwell","Michael Faraday","Hans Christian Ørsted","Charles-Augustin de Coulomb"
"physics-l1-49","1","Hvem oppdaget fenomenet elektromagnetisk induksjon?","Michael Faraday","James Clerk Maxwell","Nikola Tesla","Alessandro Volta"
"physics-l1-50","1","Hvilket år fant Michael Faraday sitt viktige eksperiment med elektromagnetisk induksjon?","1831","1821","1841","1851"
"physics-l1-51","1","Hvem oppfant den første batterien eller galvaniske cellen?","Alessandro Volta","Luigi Galvani","Michael Faraday","Georg Ohm"
