"id","level","prompt","correct","distractor1","distractor2","distractor3"
"art-l1-1","1","What is the primary color that comes from mixing red and yellow?","Orange","Green","Purple","Brown"
"art-l1-2","1","Which artist is famous for painting sunflowers?","Vincent van Gogh","Pablo Picasso","Claude Monet","Salvador Dalí"
"art-l1-3","1","What do you call a sculpture made from stone or marble?","Statue","Mural","Mosaic","Relief"
"art-l1-4","1","How many primary colors are there in traditional color theory?","Three","Two","Four","Five"
"art-l1-5","1","Which Italian artist is famous for painting the ceiling of the Sistine Chapel?","Michelangelo","Leonardo da Vinci","Raphael","Donatello"
"art-l1-6","1","What is the term for a picture made by sticking small colored pieces together?","Mosaic","Collage","Fresco","Stippling"
"art-l1-7","1","Which color is made by mixing blue and red?","Purple","Orange","Pink","Violet"
"art-l1-8","1","What is a painting or drawing of a person's face called?","Portrait","Landscape","Still life","Abstract"
"art-l1-9","1","Who painted the Mona Lisa?","Leonardo da Vinci","Michelangelo","Raphael","Botticelli"
"art-l1-10","1","What type of art involves creating images with a pencil or charcoal?","Drawing","Sculpting","Carving","Casting"
"art-l1-11","1","Which Spanish artist is known for Cubism?","Pablo Picasso","Salvador Dalí","Joan Miró","Juan Gris"
"art-l1-12","1","What is a three-dimensional work of art called?","Sculpture","Painting","Drawing","Print"
"art-l1-13","1","What is the art of creating objects from clay called?","Pottery","Weaving","Metalwork","Woodcarving"
"art-l1-14","1","Which color is made by mixing red and white?","Pink","Magenta","Coral","Salmon"
"art-l1-15","1","What is a painting or drawing of countryside scenery called?","Landscape","Portrait","Still life","Genre painting"
"art-l1-16","1","Who is the Dutch painter famous for cutting off his ear?","Vincent van Gogh","Paul Gauguin","Paul Klee","Edvard Munch"
"art-l1-17","1","What is the art form that uses paint and a canvas?","Painting","Sculpture","Photography","Printmaking"
"art-l1-18","1","Which primary color is in the middle of the rainbow?","Green","Yellow","Blue","Orange"
"art-l1-19","1","What is a painting of fruit or flowers arranged on a table called?","Still life","Landscape","Portrait","Abstract"
"art-l1-20","1","Which country is Pablo Picasso from?","Spain","France","Italy","Portugal"
"art-l1-21","1","What is the art of carving or shaping wood called?","Woodcarving","Weaving","Pottery","Metalwork"
"art-l1-22","1","Which color is made by mixing all three primary colors together?","Brown","Gray","Black","Beige"
"art-l1-23","1","What is the famous painting by Claude Monet that shows water lilies?","Water Lilies","Haystacks","Poplars","Bridge over a Pond"
"art-l1-24","1","Which art movement is known for its bright colors and emotional expression?","Expressionism","Impressionism","Realism","Romanticism"
"art-l1-25","1","What is a flat picture attached to a wall called?","Mural","Fresco","Relief","Mosaic"
"art-l1-26","1","Who is the Italian Renaissance artist most known for sculpture and anatomy?","Michelangelo","Leonardo da Vinci","Donatello","Raphael"
"art-l1-27","1","What is the art of creating images by arranging colored glass pieces?","Stained glass","Mosaics","Frescoes","Murals"
"art-l1-28","1","Which primary color is the darkest?","Blue","Red","Yellow","Green"
"art-l1-29","1","What is a detailed drawing made with pen and ink called?","Illustration","Sketch","Doodle","Outline"
"art-l1-30","1","Which artist is famous for his drip painting technique?","Jackson Pollock","Mark Rothko","Willem de Kooning","Franz Kline"
"art-l1-31","1","What is a picture that tells a story through a series of images called?","Comic strip","Animation","Storyboard","Sequence"
"art-l1-32","1","Which color is complementary to red?","Green","Blue","Orange","Yellow"
"art-l1-33","1","What is the art of creating images using only black and white?","Engraving","Etching","Lithography","Printmaking"
"art-l1-34","1","Who is the Belgian artist famous for surrealist paintings of fish and apples?","René Magritte","Salvador Dalí","Max Ernst","André Breton"
"art-l1-35","1","What is a small preliminary drawing or design called?","Sketch","Outline","Draft","Cartoon"
"art-l1-36","1","Which art period includes artists like Monet and Renoir?","Impressionism","Expressionism","Cubism","Surrealism"
"art-l1-37","1","What is the art of making prints using a wooden block?","Woodblock printing","Lithography","Engraving","Etching"
"art-l1-38","1","Which color is made by mixing yellow and blue?","Green","Purple","Orange","Brown"
"art-l1-39","1","What is a large painting with a religious or historical theme called?","Epic","Mural","Altarpiece","Fresco"
"art-l1-40","1","Who is the French impressionist painter famous for haystacks and water lilies?","Claude Monet","Pierre-Auguste Renoir","Edgar Degas","Berthe Morisot"
"art-l1-41","1","Which Italian artist painted the famous ceiling of the Sistine Chapel?","Michelangelo","Leonardo da Vinci","Raphael","Donatello"
