"id","level","prompt","correct","distractor1","distractor2","distractor3"
"history-l1-1","1","Hvilken elv var viktig for det gamle Egypt?","Nilen","Tigris","Eufrat","Donau"
"history-l1-2","1","Hvem var Kleopatra?","En egyptisk dronning","En gresk filosofer","En romersk general","En persisk konge"
"history-l1-3","1","Hva var pyramidene i Egypt?","Gravkamre for faraoner","Hellige templer","Lagerrom for mat","Militærfestninger"
"history-l1-4","1","Hvilken gresk filosof drakk gift som straff?","Sokrates","Platon","Aristoteles","Sofokles"
"history-l1-5","1","Hvor lå det gamle Hellas hovedsakelig?","På Det greske fastlandet og øyer","I Nord-Afrika","I Asia Minor","I Skandinavia"
"history-l1-6","1","Hva var Parthenon?","En gresk tempel","En egyptisk pyramid","En romersk amfiteater","En persisk palass"
"history-l1-7","1","Hvem vant slaget ved Marathon?","Grekerne","Perserne","Romerne","Egypterne"
"history-l1-8","1","Hva var en gladiator?","En romersk kampkämpe","En gresk atlet","En egyptisk prest","En persisk soldat"
"history-l1-9","1","Hvilken kongelig familie hersket over Rom?","Julierne","Ptolemeierne","Seleukidene","Antigonidene"
"history-l1-10","1","Hva var Colosseum?","En romersk amfiteater","En gresk stadion","En egyptisk tempel","En persisk festing"
"history-l1-11","1","Hvem var Julius Caesar?","En romersk general og leder","En gresk filosof","En egyptisk farao","En persisk konge"
"history-l1-12","1","Hva var det romerske imperiet?","Et stort rike styrt av Rom","En gresk forbindelse","Et egyptisk hierarki","En persisk dynasti"
"history-l1-13","1","Hvilket område kalles 'løvens andel' i klassisk historie?","Nord-Afrika","Skandinavia","Sentral-Asia","Sør-Amerika"
"history-l1-14","1","Hvem var Aristoteles?","En gresk filosof","En romersk senator","En egyptisk vitenskapsmann","En persisk lege"
"history-l1-15","1","Hva var Olympiske leker i det gamle Hellas?","Sportlige konkurranse","Religiøse ritualer","Militær trening","Filosofi seminar"
"history-l1-16","1","Hvem fant opp demokratiet?","Grekerne i Athen","Romerne","Egypterne","Perserne"
"history-l1-17","1","Hva var Forum Romanum?","Markedsplassen i Rom","Gresk tempel","Egyptisk grav","Persisk palass"
"history-l1-18","1","Hvem var Nefertiti?","En egyptisk dronning","En gresk skjønnhet","En romersk keiserinne","En persisk prinsesse"
"history-l1-19","1","Hva var de sju under i oldtiden?","Kjempestore byggverk","Gamle steder","Religiøse templer","Militærbefestninger"
"history-l1-20","1","Hvilken keiser brente Rom?","Nero","Augustus","Titus","Hadrian"
