"id","level","prompt","correct","distractor1","distractor2","distractor3"
"art-l1-1","1","Hvilken italiensk kunstner malte Mona Lisa?","Leonardo da Vinci","Michelangelo","Raphael","Botticelli"
"art-l1-2","1","I hvilket århundre levde kunstneren Michelangelo?","1400-tallet og 1500-tallet","1300-tallet og 1400-tallet","1500-tallet og 1600-tallet","1600-tallet og 1700-tallet"
"art-l1-3","1","Hvilken kunstretning er kjent for å bruke små prikker av ren farge?","Pointillisme","Impressjonisme","Surrealisme","Ekspresjonisme"
"art-l1-4","1","Hvor malte Michelangelo sitt berømte tak?","Sixtus-kapellet","Petersbasilika","Vatikanmuseet","San Marcos-kirken"
"art-l1-5","1","Hvilken kunstner kuttet av øret sitt?","Vincent van Gogh","Pablo Picasso","Henri Matisse","Paul Cézanne"
"art-l1-6","1","I hvilket land ble renessansen født?","Italia","Frankrike","Nederland","Spania"
"art-l1-7","1","Hvilken kunstner er kjent for abstraktkunsten?","Wassily Kandinsky","Salvador Dalí","Joan Miró","Max Ernst"
"art-l1-8","1","Hvilken kunstretning oppsto på 1800-tallet i Frankrike?","Impressjonisme","Kubisme","Futurisme","Dadaisme"
"art-l1-9","1","Hvem malt 'Gjøkeredet'?","Edvard Munch","Kåre Tveter","Christian Krohg","Fritz Thaulow"
"art-l1-10","1","I hvilket år malte Van Gogh 'Stjernenatt'?","1889","1885","1892","1895"
"art-l1-11","1","Hvilken kunstner er kjent for kuber og geometriske former?","Pablo Picasso","Henri Matisse","Marcel Duchamp","Juan Gris"
"art-l1-12","1","Hvilken kunstretning betont følelser og ekspresjon?","Ekspresjonisme","Naturalisme","Klassisisme","Romantikk"
"art-l1-13","1","Hvor befinner Mona Lisa seg i dag?","Louvre","Uffizi-galleriet","Vatikanmuseet","Prado"
"art-l1-14","1","Hvilken kunstner malt 'Skrikket'?","Edvard Munch","August Strindberg","Hans Heyerdahl","Nikolai Astrup"
"art-l1-15","1","I hvilken periode var middelalderen i kunsthistorien?","År 500-1500","År 1000-1500","År 300-800","År 200-600"
"art-l1-16","1","Hvilken kunstretning fokuserer på drømmer og det ubevisste?","Surrealisme","Dadaisme","Futurisme","Art Deco"
"art-l1-17","1","Hvem er kjent som fader av impressjonismen?","Claude Monet","Pierre-Auguste Renoir","Edgar Degas","Berthe Morisot"
"art-l1-18","1","I hvilket århundre blomstret barokken?","1600-tallet","1500-tallet","1700-tallet","1400-tallet"
"art-l1-19","1","Hvilken kunstner er kjent for surrealistiske smeltende klokker?","Salvador Dalí","Max Ernst","Joan Miró","André Masson"
"art-l1-20","1","Hvor bodde og arbeidet Rembrandt?","Amsterdam","Delft","Den Haag","Utrecht"
"art-l1-21","1","Hvilken kunstretning oppsto på begynnelsen av 1900-tallet?","Kubisme","Impressjonisme","Naturalisme","Romantikk"
"art-l1-22","1","Hvem malt 'Danserske på en scene'?","Edgar Degas","Pierre-Auguste Renoir","Claude Monet","Camille Pissarro"
"art-l1-23","1","I hvilket land oppsto Art Nouveau-stilen?","Frankrike og Belgia","Italien og Spania","Tyskland og Østerrike","Nederland og Danmark"
"art-l1-24","1","Hvilken kunstner er kjent for 'Søsteren dine'?","Vincent van Gogh","Paul Gauguin","Paul Cézanne","Henri Toulouse-Lautrec"
"art-l1-25","1","Hvilken kunstretning betont ord og nonsens?","Dadaisme","Surrealisme","Futurisme","Expressjonisme"
"art-l1-26","1","Hvor oppsto Dadaismen under første verdenskrig?","Zürich","Berlin","Paris","New York"
"art-l1-27","1","Hvilken kunstner malte 'Nattecaféen'?","Vincent van Gogh","Henri Toulouse-Lautrec","Édouard Manet","Pierre-Auguste Renoir"
"art-l1-28","1","I hvilken periode dominerte klassisismen?","1700-tallet","1600-tallet","1800-tallet","1500-tallet"
"art-l1-29","1","Hvilken kunstner er kjent for gotiske og skumle motiver?","Francisco Goya","Diego Velázquez","El Greco","Bartolomé Bermejo"
"art-l1-30","1","Hvilken kunstretning fokuserer på bevegelse og fart?","Futurisme","Kubisme","Fauvisme","Purisme"
"art-l1-31","1","Hvem malt 'Hø-høystakker'?","Claude Monet","Pierre-Auguste Renoir","Alfred Sisley","Camille Pissarro"
"art-l1-32","1","I hvilket århundre var renessansen?","1400-tallet og 1500-tallet","1300-tallet og 1400-tallet","1500-tallet og 1600-tallet","1200-tallet og 1300-tallet"
"art-l1-33","1","Hvilken kunstretning bruker lyslevering for effekt?","Karavaggio og Barokken","Klassisisme","Romantikk","Naturalisme"
"art-l1-34","1","Hvor finner man 'Nattverd' av Leonardo da Vinci?","Refektoriet i et kloster i Milano","Vatikanmuseet","Uffizi-galleriet","Louvre"
"art-l1-35","1","Hvilken kunstner er kjent for 'Jenteporten'?","Vigeland","Edvard Munch","Christian Krohg","Fritz Thaulow"
"art-l1-36","1","I hvilken kunstretning finner man 'Les Demoiselles d'Avignon'?","Kubisme","Impressjonisme","Fauvisme","Ekspresjonisme"
"art-l1-37","1","Hvilken kunstner er kjent for portrettkunst i 1700-tallet?","Thomas Gainsborough","George Romney","William Blake","John Constable"
"art-l1-38","1","I hvilken periode blomstret romantikken?","1800-tallet","1700-tallet","1600-tallet","1900-tallet"
"art-l1-39","1","Hvem malt 'Frihetens leder folket'?","Eugène Delacroix","Théodore Géricault","Jean-Louis David","Antoine-Jean Gros"
"art-l1-40","1","Hvilken kunstner malte 'Nattestjernen'?","Vincent van Gogh","Pablo Picasso","Claude Monet","Salvador Dalí"
"art-l1-41","1","Hva er hovedfarge på Picassos 'Den blå perioden'?","Blå","Rød","Gul","Grønn"
"art-l1-42","1","Hvilken kunstner kuttet av sitt eget øre?","Vincent van Gogh","Pablo Picasso","Michelangelo","Leonardo da Vinci"
"art-l1-43","1","I hvilket århundre malte Michelangelo Sixtinkapellets tak?","1500-tallet","1400-tallet","1600-tallet","1700-tallet"
"art-l1-44","1","Hvilken italiensk kunstner malte 'Mona Lisa'?","Leonardo da Vinci","Raphael","Michelangelo","Donatello"
"art-l1-45","1","Hvor henger 'Mona Lisa' i dag?","Louvre i Paris","Uffizi i Firenze","Vatikanet i Roma","British Museum i London"
"art-l1-46","1","Hva er navnet på Picassos berømte maleri fra 1937 som viser kriger?","Guernica","Les Demoiselles d'Avignon","Nattekafeen","Søtdamene på Avignon"
"art-l1-47","1","Hvilken kunstner er kjent for å male solsikker?","Vincent van Gogh","Claude Monet","Paul Cézanne","Pierre-Auguste Renoir"
"art-l1-48","1","Hva heter kunstretningen som Jan van Eyck og Rogier van der Weyden tilhørte?","Nordisk renessanse","Italiensk renessanse","Barokk","Gotikk"
"art-l1-49","1","Hvilken kunstner malte 'Skrikeren'?","Edvard Munch","Vincent van Gogh","Paul Klee","Wassily Kandinsky"
"art-l1-50","1","I hvilken by var Edvard Munch født?","Løten","Oslo","Bergen","Trondheim"
"art-l1-51","1","Hva er kunstretningen som fokuserer på geometriske former og farger?","Abstrakt kunst","Realisme","Impressjonisme","Romantikk"
"art-l1-52","1","Hvem malte 'Søtdamene på Avignon'?","Pablo Picasso","Henri Matisse","Georges Braque","Juan Gris"
"art-l1-53","1","Hva heter kunstretningen som Claude Monet og Pierre-Auguste Renoir tilhørte?","Impressjonisme","Ekspresjonisme","Kubisme","Fauvisme"
"art-l1-54","1","Hvilken kunstner malte 'Etteriddagskafeen'?","Vincent van Gogh","Édouard Manet","Claude Monet","Alfred Sisley"
"art-l1-55","1","Hva er kunstretningen som Salvador Dalí tilhørte?","Surrealisme","Dadaisme","Futurisme","De Stijl"
"art-l1-56","1","Hvilken kunstner er kjent for sine 'vannliljer'-malerier?","Claude Monet","Pierre-Auguste Renoir","Berthe Morisot","Mary Cassatt"
"art-l1-57","1","Hva heter kunstnerens navn som malte 'Født under Saturnus'?","Goya","El Greco","Velázquez","Murillo"
"art-l1-58","1","I hvilken kunstretning jobbet Wassily Kandinsky?","Abstrakt kunst","Impressjonisme","Kubisme","Dadaisme"
"art-l1-59","1","Hvem malte 'Persistensen av minne'?","Salvador Dalí","René Magritte","Max Ernst","André Masson"
"art-l1-60","1","Hva er navn på kunstretningen med mønstre og dekorasjon som Art Nouveau?","Jugendstil","Art Deco","Modernisme","Postmodernisme"
"art-l1-61","1","Hvilken kunstner var kjent for å tegne både mennesker og dyr med stor presisjon?","Leonardo da Vinci","Albrecht Dürer","Michelangelo","Raphael"
"art-l1-62","1","Hva er navn på kunstneren som malte 'Syn fra Saint-Michel'?","Caspar David Friedrich","Joseph Mallord William Turner","Théodore Géricault","Jean-Baptiste-Camille Corot"
"art-l1-63","1","I hvilken kunstretning jobbet Pablo Picasso når han malte Guernica?","Kubisme","Fauvisme","Surrealisme","Ekspresjonisme"
"art-l1-64","1","Hvem malte 'Aften i Arcadia'?","Claude Lorrain","Nicolas Poussin","Pierre-Auguste Renoir","Claude Monet"
"art-l1-65","1","Hva er kunstretningen som fokuserer på følelser og dramatikk?","Romantikk","Klassisisme","Barokk","Realisme"
"art-l1-66","1","Hvilken kunstner malte 'Medusa'?","Caravaggio","Peter Paul Rubens","Artemisia Gentileschi","Diego Velázquez"
"art-l1-67","1","Hva er kunstretningen som fokuserer på eksakte gjengaver av virkeligheten?","Realisme","Naturalisme","Symbolisme","Idealisme"
"art-l1-68","1","Hvem malte 'De tre musikantene'?","Pablo Picasso","Juan Gris","Georges Braque","Henri Laurens"
"art-l1-69","1","Hva er navn på kunstneren som malte 'Fuglenes slag'?","Pieter Bruegel den eldre","Hieronymus Bosch","Jan van Eyck","Rogier van der Weyden"
"art-l1-70","1","I hvilken kunstretning jobbet Henri Matisse?","Fauvisme","Expressionisme","Pointillisme","Konstruktivisme"
"art-l1-71","1","Hvem malte 'Kvinnen med parasollen'?","Claude Monet","Pierre-Auguste Renoir","Berthe Morisot","Mary Cassatt"
"art-l1-72","1","Hva er kunstretningen som fokuserer på punkter av ren farge?","Pointillisme","Divisjonisme","Impressjonisme","Simbolisme"
"art-l1-73","1","Hvilken kunstner malte 'Nattevakten'?","Rembrandt","Caravaggio","Peter Paul Rubens","Artemisia Gentileschi"
"art-l1-74","1","Hva er kunstretningen som fokuserer på geometri og orden?","De Stijl","Bauhaus","Futurisme","Konstruktivisme"
"art-l1-75","1","Hvem malte 'Søtsugne og slender mennesker'?","Paul Klee","Wassily Kandinsky","Franz Marc","August Macke"
"art-l1-76","1","Hva er kunstretningen som fokuserer på maskineri og bevegelse?","Futurisme","Dadaisme","Surrealisme","Konstruktivisme"
"art-l1-77","1","Hvilken kunstner malte 'Skattejegeren'?","John Everett Millais","Dante Gabriel Rossetti","James McNeill Whistler","William Holman Hunt"
"art-l1-78","1","Hva er kunstretningen som fokuserer på drømmer og ubevissthet?","Surrealisme","Symbolisme","Ekspresjonisme","Dadaisme"
"art-l1-79","1","Hvilket land var Pablo Picasso fra?","Spania","Frankrike","Italia","Portugal"
"art-l1-80","1","Hva het kunstneren som malte «Stjernenatten»?","Vincent van Gogh","Pablo Picasso","Claude Monet","Paul Cézanne"
"art-l1-81","1","Hvilken kunstner malte «Persisten minnene»?","Salvador Dalí","Joan Miró","André Breton","Max Ernst"
"art-l1-82","1","Hva var Michelangelos for- og etternavn?","Michelangelo Buonarroti","Michelangelo Bernini","Michelangelo Botticelli","Michelangelo Donatello"
"art-l1-83","1","Hvilket kunstverk malte Leonardo da Vinci som er kjent for kvinnens mysteriske smil?","Mona Lisa","Vitruvmannen","Skapelsen av Adam","Nattevakten"
"art-l1-84","1","Hvilken berømt kunstner var nederlandsk og levde på 1600-tallet?","Rembrandt","Jan Vermeer","Peter Paul Rubens","Frans Hals"
"art-l1-85","1","Hva var profesjonen til Frida Kahlo?","Kunstner","Forfattar","Musiker","Danser"
"art-l1-86","1","Hvilket land var Andy Warhol fra?","USA","Storbritannia","Tyskland","Frankrike"
"art-l1-87","1","Hva var Jackson Pollock kjent for?","Abstrakt ekspresjonisme","Kubisme","Impressjonisme","Realisme"
"art-l1-88","1","Hvilken kvinnelig kunstner malte mange selvportretter?","Frida Kahlo","Georgia O'Keeffe","Louise Bourgeois","Hilma af Klint"
"art-l1-89","1","Hvilket berømt kunstmuseum ligger i New York?","Metropolitan Museum of Art","Louvre","Prado","Uffizi"
"art-l1-90","1","Hva malte Wassily Kandinsky?","Abstrakt kunst","Landskapsmalerier","Portretter","Stilleben"
"art-l1-91","1","Hvilken kunstner laget «Søvnen»-serien av malerier?","Henry Fuseli","Francisco Goya","Caspar David Friedrich","William Blake"
"art-l1-92","1","Hva var Michelangelo mest kjent for å skape?","Skulpturer","Keramikk","Glasskunst","Tekstilkunst"
"art-l1-93","1","Hvilken kunstner malte «Skrikket»?","Edvard Munch","Egon Schiele","Ernst Ludwig Kirchner","Oskar Kokoschka"
"art-l1-94","1","Hvem malte «Nattevakten» på 1600-tallet?","Rembrandt","Peter Paul Rubens","Diego Velázquez","Caravaggio"
"art-l1-95","1","Hvilket kunstnernavn brukte Piet Mondrian mest kjent for?","Piet Mondrian","Peter Mondrian","Paul Mondrian","Pieter Mondrian"
"art-l1-96","1","Hva var Georgia O'Keeffe kjent for å male?","Blomster","Mennesker","Dyr","Bygninger"
"art-l1-97","1","Hvilken kunstner skapte installasjonene «Spider Maman»?","Louise Bourgeois","Yayoi Kusama","Cindy Sherman","Marina Abramović"
"art-l1-98","1","Hva var Banksy kjent for?","Gatekuns","Skulptur","Keramikk","Fotografering"
"art-l1-99","1","Hvilket land var Henri Matisse fra?","Frankrike","Spania","Italien","Tyskland"
"art-l1-100","1","Hva kalles kunstperioden Pablo Picasso og Andre Braque var kjent for å utvikle?","Kubisme","Fauvisme","Dadaisme","Surrealisme"
"art-l1-101","1","Hvilken kunstner malte «De åtte timene» serien?","Wayne Thiebaud","Roy Lichtenstein","James Rosenquist","Ed Ruscha"
"art-l1-102","1","Hva var Jean-Michel Basquiats hovedkunstform?","Graffiti og maleri","Skulptur","Fotografering","Videokunst"
"art-l1-103","1","Hvilken kunstner skapte «Skapelsen av Adam» på Sixtinkapellets tak?","Michelangelo","Raphael","Leonardo da Vinci","Brunelleschi"
"art-l1-104","1","Hva var Sandro Botticelli kjent for å male?","Mythologiske scener","Religiøse portretter","Landskaper","Stilleben"
"art-l1-105","1","Hvilket kunstmuseum inneholder Den modne Ven-samlingen?","Accademia Gallery","Uffizi Gallery","Borghese Gallery","Cappodimonte"
"art-l1-106","1","Hva var Alfred Sisley kjent for?","Impressjonistiske landskapsmalerier","Abstraktisme","Surrealisme","Ekspresjonisme"
"art-l1-107","1","Hvilken kunstner skapte «The Great Wave off Kanagawa»?","Katsushika Hokusai","Utagawa Hiroshige","Kitagawa Utamaro","Ando Hiroshige"
"art-l1-108","1","Hva var Käthe Kollwitz kjent for?","Uttrykksfulle gravyrer og tegninger","Abstrakte malerier","Fotografi","Keramikk"
"art-l1-109","1","Hvilken kunstner skapte «Kussen»-maleriet?","Gustav Klimt","Egon Schiele","Oskar Kokoschka","Emil Nolde"
"art-l1-110","1","Hva var Marc Chagall kjent for?","Drømmefulle og fantasifulle malerier","Geometric abstraksjon","Realistiske portretter","Minimalisme"
"art-l1-111","1","Hvilken kunstner skapte «Whistlers Mutter»-maleriet?","James Abbott McNeill Whistler","Thomas Eakins","Winslow Homer","John Singer Sargent"
"art-l1-112","1","Hva var Barbara Hepworth kjent for?","Abstrakte skulpturer","Figurative tegninger","Fotografering","Installasjoner"
"art-l1-113","1","Hvilket land var Tamara de Lempicka fra?","Polen","Frankrike","Russland","Tyskland"
"art-l1-114","1","Hva var David Hockney kjent for?","Pop art og landskapsmalerier","Minimalisme","Abstrakt ekspresjonisme","Dadaisme"
"art-l1-115","1","Hvilken kunstner skapte «American Gothic»-maleriet?","Grant Wood","Edward Hopper","Thomas Hart Benton","John Steuart Curry"
"art-l1-116","1","Hva var Cindy Sherman kjent for?","Selvportretter og fotografering","Abstraktisme","Sculpting","Videokunst"
"art-l1-117","1","Hvilken kunstner skapte «Hvite flagg»-serien?","Jasper Johns","Robert Rauschenberg","Roy Lichtenstein","James Rosenquist"
"art-l1-118","1","Hvilken kunstner malte flest bilder i løpet av sitt liv?","Pablo Picasso","Vincent van Gogh","Leonardo da Vinci","Michelangelo"
"art-l1-119","1","Hva er det dyreste maleri noen gang solgt på auksjon?","Salvator Mundi","Gjernikannen","Nattestjernen","Jenta med perleøredobber"
"art-l1-120","1","Hvilken kunstner solgte flest kunstveerk i løpet av sitt liv?","Andy Warhol","Salvador Dalí","Pablo Picasso","Jackson Pollock"
"art-l1-121","1","Hva er den mest besøkte kunstutstilling noen gang?","Tutankhamons begravelse","Monalisa utstillingen","Van Gogh retrospektiv","Picasso samling"
