"id","level","prompt","correct","distractor1","distractor2","distractor3"
"chemistry-l1-1","1","What is the chemical symbol for oxygen?","O","Ox","O2","Om"
"chemistry-l1-2","1","How many elements are in the periodic table?","118","92","100","150"
"chemistry-l1-3","1","What is the chemical symbol for hydrogen?","H","Hy","Hd","Hr"
"chemistry-l1-4","1","What is the most abundant gas in Earth's atmosphere?","Nitrogen","Oxygen","Carbon dioxide","Argon"
"chemistry-l1-5","1","What is the chemical symbol for carbon?","C","Ca","Co","Cb"
"chemistry-l1-6","1","What is H2O commonly known as?","Water","Salt","Sugar","Oil"
"chemistry-l1-7","1","What is the chemical symbol for nitrogen?","N","Ni","Nt","Nr"
"chemistry-l1-8","1","What is the chemical symbol for gold?","Au","Go","Gd","Ag"
"chemistry-l1-9","1","What state of matter is ice?","Solid","Liquid","Gas","Plasma"
"chemistry-l1-10","1","What is the chemical symbol for sodium?","Na","So","Sd","Sn"
"chemistry-l1-11","1","What is NaCl commonly known as?","Table salt","Sugar","Baking soda","Vinegar"
"chemistry-l1-12","1","What is the chemical symbol for iron?","Fe","Ir","In","Io"
"chemistry-l1-13","1","What is the smallest particle of an element?","Atom","Molecule","Cell","Electron"
"chemistry-l1-14","1","What is the chemical symbol for copper?","Cu","Co","Cp","Cb"
"chemistry-l1-15","1","What is the chemical symbol for silver?","Ag","Si","Sv","Sl"
"chemistry-l1-16","1","What is the chemical symbol for calcium?","Ca","Cl","Cd","Ce"
"chemistry-l1-17","1","What is the chemical symbol for chlorine?","Cl","Ch","Cr","Cn"
"chemistry-l1-18","1","What state of matter is steam?","Gas","Liquid","Solid","Plasma"
"chemistry-l1-19","1","What is the chemical symbol for potassium?","K","Po","Pt","Pn"
"chemistry-l1-20","1","What is the chemical symbol for magnesium?","Mg","Mn","Mo","Mt"
"chemistry-l1-21","1","What is a pure substance made of one type of atom called?","Element","Compound","Mixture","Solution"
"chemistry-l1-22","1","What is the chemical symbol for phosphorus?","P","Ph","Ps","Pb"
"chemistry-l1-23","1","What is the chemical symbol for sulfur?","S","Su","Sf","Sl"
"chemistry-l1-24","1","What is the chemical symbol for helium?","He","Hl","Hn","Hr"
"chemistry-l1-25","1","What is the chemical symbol for neon?","Ne","Ni","Nn","No"
"chemistry-l1-26","1","What is a combination of two or more elements called?","Compound","Element","Atom","Mixture"
"chemistry-l1-27","1","What is the chemical symbol for aluminum?","Al","Am","Ar","Ac"
"chemistry-l1-28","1","What is the chemical symbol for silicon?","Si","Sn","Se","Sm"
"chemistry-l1-29","1","What is the chemical symbol for tin?","Sn","Tn","Sd","Sm"
"chemistry-l1-30","1","What is the chemical symbol for lead?","Pb","Ld","Pl","Ps"
"chemistry-l1-31","1","What is the chemical symbol for mercury?","Hg","Mr","Mc","Mn"
"chemistry-l1-32","1","What is the chemical symbol for zinc?","Zn","Zc","Zi","Zl"
"chemistry-l1-33","1","What is the chemical symbol for fluorine?","F","Fl","Fn","Fm"
"chemistry-l1-34","1","What is the chemical symbol for bromine?","Br","Bn","Bo","Bi"
"chemistry-l1-35","1","What is the chemical symbol for iodine?","I","In","Io","Id"
"chemistry-l1-36","1","What is the chemical symbol for lithium?","Li","Li","Ln","Lm"
"chemistry-l1-37","1","What is the chemical symbol for beryllium?","Be","Bm","Bn","Bi"
"chemistry-l1-38","1","What is the chemical symbol for boron?","B","Bo","Br","Ba"
"chemistry-l1-39","1","What is CO2 commonly known as?","Carbon dioxide","Carbon monoxide","Nitrogen dioxide","Sulfur dioxide"
"chemistry-l1-40","1","Who is credited with discovering oxygen in 1774?","Joseph Priestley","Antoine Lavoisier","Carl Wilhelm Scheele","Henry Cavendish"
"chemistry-l1-41","1","Which ancient Greek philosopher proposed that all matter was made of atoms?","Democritus","Aristotle","Plato","Socrates"
"chemistry-l1-42","1","In what year did John Dalton propose his atomic theory?","1808","1789","1825","1798"
"chemistry-l1-43","1","Who discovered the electron in 1897?","J.J. Thomson","Ernest Rutherford","Niels Bohr","Max Planck"
"chemistry-l1-44","1","Which scientist developed the periodic table of elements?","Dmitri Mendeleev","Julius Lothar Meyer","Johann Döbereiner","Alexandre-Émile Béguyer de Chancourtois"
"chemistry-l1-45","1","What year was the periodic table first published by Mendeleev?","1869","1856","1879","1862"
"chemistry-l1-46","1","Who is known as the father of modern chemistry?","Antoine Lavoisier","Robert Boyle","Joseph Black","Georg Ernst Stahl"
"chemistry-l1-47","1","Which scientist discovered the nucleus of the atom?","Ernest Rutherford","Hans Geiger","Ernest Marsden","J.J. Thomson"
"chemistry-l1-48","1","In what year did Rutherford discover the atomic nucleus?","1909","1897","1915","1905"
"chemistry-l1-49","1","Who proposed the Bohr model of the atom?","Niels Bohr","Max Planck","Erwin Schrödinger","Werner Heisenberg"
"chemistry-l1-50","1","What year did Niels Bohr propose his atomic model?","1913","1905","1920","1911"
"chemistry-l1-51","1","Which gas did Antoine Lavoisier identify as necessary for combustion?","Oxygen","Nitrogen","Hydrogen","Carbon dioxide"
"chemistry-l1-52","1","Who discovered hydrogen as a separate element?","Henry Cavendish","Joseph Priestley","Carl Wilhelm Scheele","Georg Ernst Stahl"
"chemistry-l1-53","1","In what year did Cavendish discover hydrogen?","1766","1774","1756","1776"
"chemistry-l1-54","1","Who proposed the law of conservation of mass?","Antoine Lavoisier","John Dalton","Joseph Proust","Robert Boyle"
"chemistry-l1-55","1","Which scientist formulated the law of definite proportions?","Joseph Proust","John Dalton","Robert Boyle","Charles-Louis Berthollet"
"chemistry-l1-56","1","Who discovered the element radium?","Marie Curie","Pierre Curie","Ernest Rutherford","Frederick Soddy"
"chemistry-l1-57","1","In what year was radium discovered by Marie Curie?","1898","1896","1902","1890"
"chemistry-l1-58","1","Which scientist discovered polonium?","Marie Curie","Pierre Curie","Bronisław Wrzesiński","Stefan Żeromski"
"chemistry-l1-59","1","Who discovered the neutron?","James Chadwick","Ernest Rutherford","Niels Bohr","Enrico Fermi"
"chemistry-l1-60","1","In what year did Chadwick discover the neutron?","1932","1930","1935","1928"
"chemistry-l1-61","1","Who proposed the law of combining volumes?","Joseph-Louis Gay-Lussac","Amedeo Avogadro","Robert Boyle","Jacques Charles"
"chemistry-l1-62","1","Which scientist proposed Avogadro's law?","Amedeo Avogadro","Joseph-Louis Gay-Lussac","Robert Boyle","Jacques Charles"
"chemistry-l1-63","1","In what year did Avogadro propose his law?","1811","1802","1820","1805"
"chemistry-l1-64","1","Who formulated the ideal gas law (PV=nRT)?","Multiple scientists","Robert Boyle","Jacques Charles","Joseph-Louis Gay-Lussac"
"chemistry-l1-65","1","Which scientist discovered the element chlorine?","Carl Wilhelm Scheele","Antoine Lavoisier","Joseph Priestley","Henry Cavendish"
"chemistry-l1-66","1","Who discovered the element fluorine?","Henri Moissan","Carl Wilhelm Scheele","Antoine Lavoisier","Joseph Gay-Lussac"
"chemistry-l1-67","1","In what year did Moissan discover fluorine?","1886","1876","1896","1880"
"chemistry-l1-68","1","Who is credited with developing the concept of chemical bonding?","Gilbert Newton Lewis","Linus Pauling","Valentin Haworth","Archibald Coutts Arnold"
"chemistry-l1-69","1","Which scientist won the Nobel Prize for discovering isotopes?","Frederick Soddy","Ernest Rutherford","Niels Bohr","James Chadwick"
