"id","level","prompt","correct","distractor1","distractor2","distractor3"
"computer_sience-l1-1","1","Hva er forkortelsen for datamaskinen som brukes på mange kontorer?","PC","DC","MC","TC"
"computer_sience-l1-2","1","Hvilken enhet måler hastigheten på Internett?","Mbps","Mbs","Mhz","Gb"
"computer_sience-l1-3","1","Hva kalles den lille pilen på skjermen?","Markør","Peker","Fingermark","Pilspiss"
"computer_sience-l1-4","1","Hva står HTML for?","HyperText Markup Language","High Technology Modern Language","Hyper Transfer Mark Language","Home Tool Markup Logic"
"computer_sience-l1-5","1","Hvilken kjent søkemotor ble grunnlagt i 1998?","Google","Yahoo","Bing","Alta Vista"
"computer_sience-l1-6","1","Hva er en fil med endelsen .txt?","Tekstfil","Bildefil","Lydfil","Videofil"
"computer_sience-l1-7","1","Hva kalles det når en datamaskin lagrer informasjon på disken?","Lagring","Overføring","Streaming","Synkronisering"
"computer_sience-l1-8","1","Hva er en byte?","En enhet for datamengde","En type tilkobling","En programmeringsspråk","En type minnekort"
"computer_sience-l1-9","1","Hva betyr forkortelsen CPU?","Central Processing Unit","Central Program Utility","Computer Processing Unit","Central Processor Update"
"computer_sience-l1-10","1","Hvilken type fil brukes for å lagre bilder på nettet?","JPEG","DOCX","XLSM","PPTX"
"computer_sience-l1-11","1","Hva kalles den delen av datamaskinen som lagrer data midlertidig?","RAM","ROM","SSD","HDD"
"computer_sience-l1-12","1","Hva er det verden's mest brukte operativsystem på mobiltelefoner?","Android","iOS","Windows","Linux"
"computer_sience-l1-13","1","Hva kalles det når en nettside ikke laster ordentlig?","Timeout","Crash","Freeze","Lag"
"computer_sience-l1-14","1","Hva er en app?","En applikasjon på en mobilenhet","En type kabel","En internetleverandør","En type minnekort"
"computer_sience-l1-15","1","Hva er det vanligste programmering språket i verden?","Python","Java","C++","Ruby"
"computer_sience-l1-16","1","Hva kalles en programmer som hindrer virus?","Antivirus","Firewall","Router","Gateway"
"computer_sience-l1-17","1","Hva betyr www i en nettadresse?","World Wide Web","Web World Wide","Worldwide Web Work","World Web Width"
"computer_sience-l1-18","1","Hva kalles en dataskjerm?","Monitor","Display","Screen","Panel"
"computer_sience-l1-19","1","Hva er en pixel?","Den minste enheten på en skjerm","En type datakobling","En enhet for hastighet","En type minnebrikke"
"computer_sience-l1-20","1","Hva kalles det når en fil blir ødelagt eller utilgjengelig?","Korrupsjon","Fragmentering","Komprimering","Kryptering"
"computer_sience-l1-21","1","Hva er en URL?","En nettadresse","En type fil","En emailtjeneste","En dataleverandør"
"computer_sience-l1-22","1","Hva kalles det når datamaskinen ikke reagerer?","Frysing","Overoppheting","Fragmentering","Defragmentering"
"computer_sience-l1-23","1","Hva er Cloud computing?","Lagring av data på internettet","Bruk av skybilder som bakgrunn","En type antivirus","En type datakabel"
"computer_sience-l1-24","1","Hva kalles det når man endrer passord?","Oppdatering","Backup","Cache","Cookie"
"computer_sience-l1-25","1","Hva er en browser?","Et program for å besøke nettsteder","En type harddisk","En dataprinter","En type tastatur"
"computer_sience-l1-26","1","Hva betyr forkortelsen GB?","Gigabyte","Gigabit","Gigabaud","Global Bandwidth"
"computer_sience-l1-27","1","Hva kalles det minste grunnelementet i binær kode?","Bit","Byte","Nibble","Kilobit"
"computer_sience-l1-28","1","Hva er en server?","En datamaskin som lagrer og deler data","En type tastatur","En dataprinter","En type monitor"
"computer_sience-l1-29","1","Hva kalles en hemmelighet som beskytter datamaskinen din?","Passord","Brukernavn","PIN-kode","Nøkkel"
"computer_sience-l1-30","1","Hva er et operativsystem?","Programvaren som styrer datamaskinen","En type dataprinter","En nettleser","En antivirusprogram"
"computer_sience-l1-31","1","Hva kalles det når man laster ned en fil fra nettet?","Download","Upload","Backup","Sync"
"computer_sience-l1-32","1","Hva er en WiFi?","Trådløs internettforbindelse","En type datakabel","En internetleverandør","En type router"
