"id","level","prompt","correct","distractor1","distractor2","distractor3"
"physics-l1-1","1","What is the SI unit of force?","Newton","Joule","Watt","Pascal"
"physics-l1-2","1","How many sides does a molecule of water have in terms of atoms?","3","2","4","5"
"physics-l1-3","1","What is the speed of light in vacuum approximately?","300,000 kilometers per second","150,000 kilometers per second","500,000 kilometers per second","100,000 kilometers per second"
"physics-l1-4","1","Which of these is NOT a state of matter?","Plasma-like","Solid","Liquid","Gas"
"physics-l1-5","1","What does gravity do to objects on Earth?","Pulls them downward","Pushes them upward","Makes them transparent","Changes their color"
"physics-l1-6","1","What is the SI unit of energy?","Joule","Newton","Watt","Volt"
"physics-l1-7","1","How many dimensions does space have according to classical physics?","3","2","4","5"
"physics-l1-8","1","What is the smallest unit of matter that keeps its properties?","Atom","Molecule","Element","Compound"
"physics-l1-9","1","Which of these elements is a gas at room temperature?","Oxygen","Iron","Copper","Gold"
"physics-l1-10","1","What is the SI unit of temperature?","Kelvin","Celsius","Fahrenheit","Rankine"
"physics-l1-11","1","What force causes objects to fall toward Earth?","Gravity","Magnetism","Friction","Buoyancy"
"physics-l1-12","1","How many atoms are in a molecule of carbon dioxide?","3","2","4","5"
"physics-l1-13","1","What is the SI unit of electric current?","Ampere","Volt","Ohm","Coulomb"
"physics-l1-14","1","Which of these is an example of potential energy?","A ball held at height","A moving car","Running water","A spinning wheel"
"physics-l1-15","1","What is the SI unit of power?","Watt","Joule","Newton","Volt"
"physics-l1-16","1","How many electrons does a hydrogen atom have?","1","2","3","0"
"physics-l1-17","1","What does the law of conservation of energy state?","Energy cannot be created or destroyed","Energy always increases","Energy always decreases","Energy can disappear completely"
"physics-l1-18","1","Which of these materials is a good conductor of electricity?","Copper","Rubber","Glass","Plastic"
"physics-l1-19","1","What is the SI unit of pressure?","Pascal","Newton","Joule","Watt"
"physics-l1-20","1","How many poles does a magnet have at minimum?","2","1","3","4"
"physics-l1-21","1","What is the SI unit of frequency?","Hertz","Joule","Watt","Newton"
"physics-l1-22","1","Which of these is an example of kinetic energy?","A moving bicycle","A stretched spring","A lifted weight","A charged battery"
