"id","level","prompt","correct","distractor1","distractor2","distractor3"
"sports-l1-1","1","Hvor mange spillere fra hvert lag er på banen i fotball?","11","10","12","9"
"sports-l1-2","1","Hvor mange minutter varer en ordinær fotballkamp?","90","80","100","75"
"sports-l1-3","1","Hvilken norsk fotballklub har vunnet flest NM-titler?","Rosenborg","Molde","Lillestrom","Vålerenga"
"sports-l1-4","1","Hvilket land vant VM i fotball i 2022?","Argentina","Frankrike","Brasil","Tyskland"
"sports-l1-5","1","Hva kalles pausen mellom første og andre halvdel i fotball?","Hvile","Timeout","Pause","Intervall"
"sports-l1-6","1","Hvor mange ganger kan et lag bytte spillere i en fotballkamp?","3","2","4","5"
"sports-l1-7","1","Hva er størrelsen på fotballmålet i bredde?","7,32 meter","8 meter","6,5 meter","7 meter"
"sports-l1-8","1","Hvilket norsk lag spiller hjemmekampene sine på Ullevål Stadion?","Vålerenga","Rosenborg","Lillestrøm","Strømsgodset"
"sports-l1-9","1","Hva er størrelsen på fotballbanen i lengde?","100-130 meter","90-120 meter","110-140 meter","80-110 meter"
"sports-l1-10","1","Hvor mange ganger har Tyskland vunnet VM i fotball?","4","3","5","2"
"sports-l1-11","1","Hvilket land arrangerte VM i fotball i 2018?","Russland","Qatar","Brasil","Frankrike"
"sports-l1-12","1","Hva kalles det når en spiller scorer tre mål i en kamp?","Hattrick","Dobbel","Trippel","Trekantet"
"sports-l1-13","1","Hvor mange lag spiller i Eliteserien i Norge?","16","18","14","20"
"sports-l1-14","1","Hvilket land er kjent som 'Fotballens hjemland'?","England","Brasil","Italia","Tyskland"
"sports-l1-15","1","Hva er det røde kortet i fotball for?","Utvisning av spiller","Advarsel","Straffespark","Overtredelse"
"sports-l1-16","1","Hvilket lag vant Champions League i 2023?","Manchester City","Real Madrid","Bayern München","Liverpool"
"sports-l1-17","1","Hvor mange år varer et fotballmesterskap normalt?","4","2","3","5"
"sports-l1-18","1","Hva kalles området foran målet hvor keeper kan ta ballen med hånden?","Straffesparkfeltet","Målfeltet","Sikkerhetszonen","Keeperzonen"
"sports-l1-19","1","Hvilket norsk lag har vunnet flest europacuptitler?","Rosenborg","Molde","Lillestrøm","Viking"
"sports-l1-20","1","Hvor mange lag deltar i VM i fotball?","32","24","36","28"
"sports-l1-21","1","Hva er størrelsen på fotballmålet i høyde?","2,44 meter","2,5 meter","2,3 meter","2,6 meter"
"sports-l1-22","1","Hvilket land vant VM i fotball i 2014?","Tyskland","Argentina","Brasil","Frankrike"
"sports-l1-23","1","Hva kalles det når keeper kaster ballen ut av hånden?","Utslipp","Kastet","Distribusjon","Påkast"
"sports-l1-24","1","Hvor mange ganger har Brasil vunnet VM i fotball?","5","4","6","3"
"sports-l1-25","1","Hvilket land er Cristiano Ronaldo fra?","Portugal","Brasil","Spania","Italia"
"sports-l1-26","1","Hva er det gule kortet i fotball for?","Advarsel","Utvisning","Pause","Straffespark"
"sports-l1-27","1","Hvor mange lag er i en fotballgruppe i VM?","4","3","5","6"
"sports-l1-28","1","Hvilket norsk lag har spilt flest år i toppfotballen?","Rosenborg","Molde","Lillestrøm","Vålerenga"
"sports-l1-29","1","Hva kalles linjen som markerer sidene av fotballbanen?","Sidelinja","Markørlinjen","Grenselinjen","Kantlinjen"
"sports-l1-30","1","Hvor mange minutter ekstra kan dommeren gi i fotball?","Variabel","5 minutter","10 minutter","3 minutter"
"sports-l1-31","1","Hvilket land er Lionel Messi fra?","Argentina","Brasil","Spania","Uruguay"
"sports-l1-32","1","Hva kalles området omkring målet som keeper skal beskytte?","Målområdet","Sikkerhetssonen","Straffezonen","Keeperfeltet"
"sports-l1-33","1","Hvor mange ganger har Italia vunnet VM i fotball?","4","3","5","2"
"sports-l1-34","1","Hvilken norsk by har to fotballlag i Eliteserien?","Oslo","Bergen","Stavanger","Trondheim"
"sports-l1-35","1","Hva kalles det når en spiller gjør et eget mål?","Selvmål","Egeninteresse","Motmål","Feilmål"
"sports-l1-36","1","Hvor mange ganger har Frankrike vunnet VM i fotball?","2","1","3","4"
"sports-l1-37","1","Hvilken norsk spiller er kjent som 'King Kai'?","Kai Havertz","Erling Haaland","Martin Ødegaard","Mats Zuccarello"
"sports-l1-38","1","Hva kalles det når en keeper fanger ballen før den går inn i målet?","Redning","Vern","Blokkering","Stans"
"sports-l1-39","1","Hvor mange lag deltar i gruppespillet i Europa League?","32","16","24","48"
"sports-l1-40","1","Hvilket lag fra Stavanger har spilt i Eliteserien?","Viking","Rosenborg","Molde","Lillestrøm"
"sports-l1-41","1","Hvor mange løpere deltar i en standard 4x100 meter stafett?","4","3","5","6"
"sports-l1-42","1","Hvilken olympisk lek er triathlon en del av?","Sommer-OL","Vinter-OL","Paralympiske leker","Youth Olympic Games"
"sports-l1-43","1","Hvor mange år er det mellom hver Gang Sommer-OL arrangeres?","4","2","3","5"
"sports-l1-44","1","Hva er den korteste friidrettsløpsdistansen på Sommer-OL?","100 meter","50 meter","150 meter","200 meter"
"sports-l1-45","1","Hvor høyt må stangspringeren hoppe over?","En stang","En vegg","Et gjerde","En barriere"
"sports-l1-46","1","Hvor mange forsøk får en utøver i stangspring?","3","2","4","5"
"sports-l1-47","1","Hva er lengden på en maraton?","42,195 kilometer","40 kilometer","45 kilometer","50 kilometer"
