"id","level","prompt","correct","distractor1","distractor2","distractor3"
"science-l1-1","1","What is the basic unit of life that makes up all living organisms?","Cell","Atom","Molecule","Tissue"
"science-l1-2","1","Which organelle is known as the 'powerhouse of the cell'?","Mitochondrion","Ribosome","Nucleus","Golgi apparatus"
"science-l1-3","1","What does DNA stand for?","Deoxyribonucleic acid","Diribonucleic acid","Deoxyribose nucleotide arrangement","Deoxynuclear diastase"
"science-l1-4","1","Which type of cells do not have a nucleus?","Prokaryotic cells","Eukaryotic cells","Animal cells","Plant cells"
"science-l1-5","1","What is the process by which cells divide and reproduce?","Mitosis","Photosynthesis","Respiration","Osmosis"
"science-l1-6","1","Which organelle contains the cell's genetic material?","Nucleus","Mitochondrion","Chloroplast","Vacuole"
"science-l1-7","1","What is the jelly-like substance inside a cell called?","Cytoplasm","Nucleoplasm","Protoplasm","Ectoplasm"
"science-l1-8","1","Which organelle is responsible for making proteins in the cell?","Ribosome","Lysosome","Peroxisome","Centriole"
"science-l1-9","1","What surrounds and protects the cell, controlling what enters and exits?","Cell membrane","Cell wall","Nucleus","Cytoplasm"
"science-l1-10","1","Which organelle is found only in plant cells and captures sunlight?","Chloroplast","Mitochondrion","Lysosome","Vacuole"
"science-l1-11","1","What is the rigid outer layer that surrounds plant cells?","Cell wall","Cell membrane","Cytoplasm","Nucleus"
"science-l1-12","1","Which type of cell has a membrane-bound nucleus?","Eukaryotic cell","Prokaryotic cell","Bacterial cell","Archaea cell"
"science-l1-13","1","What is the process by which organisms break down food to get energy?","Cellular respiration","Photosynthesis","Fermentation","Digestion"
"science-l1-14","1","Which organelle breaks down waste materials and dead cells?","Lysosome","Peroxisome","Vacuole","Centriole"
"science-l1-15","1","What is the storage organelle that is especially large in plant cells?","Vacuole","Mitochondrion","Chloroplast","Ribosome"
"science-l1-16","1","Which structures help divide the cell during mitosis in animal cells?","Centrioles","Chromosomes","Spindle fibers","Cell plates"
"science-l1-17","1","What is the name of the thick liquid inside the nucleus?","Nucleoplasm","Cytoplasm","Protoplasm","Ectoplasm"
"science-l1-18","1","What are the tiny, thread-like structures that carry genetic information?","Chromosomes","Genes","Ribosomes","Organelles"
"science-l1-19","1","Which organelle packages and ships proteins throughout the cell?","Golgi apparatus","Endoplasmic reticulum","Ribosome","Lysosome"
"science-l1-20","1","What is the branching network of membranes involved in protein synthesis called?","Rough endoplasmic reticulum","Smooth endoplasmic reticulum","Golgi apparatus","Vacuole"
"science-l1-21","1","What type of organism is made up of a single cell?","Unicellular organism","Multicellular organism","Prokaryotic organism","Eukaryotic organism"
"science-l1-22","1","What is the process where a cell splits into two identical daughter cells?","Binary fission","Mitosis","Meiosis","Budding"
"science-l1-23","1","Which type of cell division produces sex cells with half the chromosomes?","Meiosis","Mitosis","Binary fission","Budding"
"science-l1-24","1","What is the smallest unit of heredity?","Gene","Chromosome","Allele","Trait"
"science-l1-25","1","Which bacteria are spiral-shaped?","Spirilla","Cocci","Bacilli","Vibrio"
"science-l1-26","1","What is the process by which plants use sunlight to make food?","Photosynthesis","Cellular respiration","Fermentation","Transpiration"
"science-l1-27","1","What are the two main pigments used in photosynthesis?","Chlorophyll","Hemoglobin","Melanin","Carotenoid"
"science-l1-28","1","Which organelle is involved in the synthesis of lipids?","Smooth endoplasmic reticulum","Rough endoplasmic reticulum","Mitochondrion","Chloroplast"
"science-l1-29","1","What is the process where water moves across a semipermeable membrane?","Osmosis","Diffusion","Active transport","Endocytosis"
"science-l1-30","1","What is the movement of molecules from high to low concentration called?","Diffusion","Osmosis","Active transport","Facilitated diffusion"
"science-l1-31","1","Which type of protein helps speed up chemical reactions in cells?","Enzyme","Hormone","Antibody","Antigen"
"science-l1-32","1","What is the name of the structure that copies DNA?","DNA replication","Transcription","Translation","Mutation"
"science-l1-33","1","What carries information from DNA to ribosomes for protein making?","Messenger RNA","Transfer RNA","Ribosomal RNA","DNA"
"science-l1-34","1","Which organelle is responsible for detoxifying harmful substances?","Peroxisome","Lysosome","Vacuole","Ribosome"
"science-l1-35","1","What is a group of similar cells working together called?","Tissue","Organ","Organism","System"
"science-l1-36","1","Which stage of the cell cycle involves the actual division of the cell?","Cytokinesis","Interphase","Prophase","Telophase"
"science-l1-37","1","What is the stage where the cell prepares for division by copying DNA?","Interphase","Mitosis","Cytokinesis","Prophase"
"science-l1-38","1","Which substance in cell membranes helps maintain flexibility?","Cholesterol","Glucose","Lactose","Starch"
"science-l1-39","1","What is the basic structural unit of cell membranes?","Phospholipid","Protein","Carbohydrate","Nucleotide"
"science-l1-40","1","Which type of bacteria are rod-shaped?","Bacilli","Cocci","Spirilla","Vibrio"
"science-l1-41","1","What is the network of protein filaments that gives cells their shape?","Cytoskeleton","Extracellular matrix","Cell wall","Membrane skeleton"
"science-l1-42","1","What scientist is famous for developing the theory of evolution by natural selection?","Charles Darwin","Gregor Mendel","Louis Pasteur","Isaac Newton"
"science-l1-43","1","What is the name of the molecule that carries genetic information in living organisms?","DNA","RNA","Protein","Lipid"
"science-l1-44","1","In what year did Charles Darwin publish 'On the Origin of Species'?","1859","1842","1871","1865"
"science-l1-45","1","What is the basic unit of heredity that passes traits from parents to offspring?","Gene","Chromosome","Nucleus","Ribosome"
"science-l1-46","1","What scientist discovered the patterns of inheritance through his work with pea plants?","Gregor Mendel","Charles Darwin","Jean-Baptiste Lamarck","August Weismann"
"science-l1-47","1","What is the process by which organisms change and adapt over many generations?","Evolution","Photosynthesis","Mitosis","Digestion"
"science-l1-48","1","How many copies of each chromosome do humans typically have in their cells?","2","1","3","4"
"science-l1-49","1","What are the four bases that make up DNA?","Adenine, Thymine, Guanine, Cytosine","Adenine, Uracil, Guanine, Cytosine","Adenine, Thymine, Guanine, Uracil","Arginine, Thymine, Glycine, Cytosine"
"science-l1-50","1","What is the term for traits that are passed down from parents to children through genes?","Hereditary traits","Acquired traits","Learned behaviors","Environmental adaptations"
"science-l1-51","1","Which animal did Darwin famously study on the Galápagos Islands?","Finches","Tortoises","Iguanas","Seals"
"science-l1-52","1","What is the name of the process where DNA copies itself before cell division?","DNA replication","DNA transcription","DNA translation","DNA mutation"
"science-l1-53","1","What term describes the ability of organisms to change and survive in their environment?","Adaptation","Mutation","Variation","Selection"
"science-l1-54","1","How many pairs of chromosomes do humans have in each cell?","23","46","12","11"
"science-l1-55","1","What is a sudden change in the DNA sequence called?","Mutation","Evolution","Adaptation","Selection"
"science-l1-56","1","Which process ensures that offspring have a mix of traits from both parents?","Sexual reproduction","Asexual reproduction","Budding","Fragmentation"
"science-l1-57","1","What is the term for the struggle between organisms for limited resources?","Competition","Predation","Symbiosis","Parasitism"
"science-l1-58","1","What is natural selection often described as?","Survival of the fittest","Evolution of the strongest","Adaptation of the fastest","Mutation of the cleverest"
"science-l1-59","1","In genetics, what is a dominant trait?","A trait that appears when only one copy of the gene is present","A trait that only appears in males","A trait that only appears in females","A trait that skips generations"
"science-l1-60","1","What percentage of human DNA do we share with chimpanzees?","About 98%","About 50%","About 75%","About 25%"
"science-l1-61","1","What is the term for the differences in traits within a population?","Genetic variation","Genetic drift","Gene flow","Genetic mutation"
"science-l1-62","1","Which type of reproduction produces offspring identical to the parent?","Asexual reproduction","Sexual reproduction","Meiosis","Fertilization"
"science-l1-63","1","What does the term 'allele' refer to in genetics?","Different versions of the same gene","A type of chromosome","A mutation in DNA","A protein made by genes"
"science-l1-64","1","What is the name of the structure in cells that contains DNA?","Nucleus","Mitochondrion","Ribosome","Golgi apparatus"
"science-l1-65","1","What is a recessive trait?","A trait that only appears when two copies of the gene are present","A trait that disappears over time","A trait that appears in old age","A trait caused by the environment"
"science-l1-66","1","What year did scientists complete the mapping of the human genome?","2003","1995","2010","1990"
"science-l1-67","1","What is the process by which cells divide to produce gametes (sex cells)?","Meiosis","Mitosis","Cytokinesis","Fertilization"
"science-l1-68","1","What term describes organisms that are suited to their environment?","Well-adapted","Mutated","Evolved","Selected"
"science-l1-69","1","How many base pairs are in the human genome approximately?","3 billion","1 billion","5 billion","10 billion"
"science-l1-70","1","What is the term for the evolutionary history of an organism?","Phylogeny","Ontogeny","Taxonomy","Ecology"
