"id","level","prompt","correct","distractor1","distractor2","distractor3"
"celebrities-l1-1","1","Hvilken land er skuespilleren Tom Cruise født i?","USA","Canada","Storbritannia","Australia"
"celebrities-l1-2","1","I hvilket år ble skuespilleren Audrey Hepburn født?","1929","1925","1935","1931"
"celebrities-l1-3","1","Hvor er sanger Elvis Presley født?","Tennessee, USA","Memphis, USA","Nashville, USA","Louisiana, USA"
"celebrities-l1-4","1","Hvilken nasjonalitet hadde filmstjerna Marilyn Monroe?","Amerikansk","Britisk","Fransk","Tysk"
"celebrities-l1-5","1","I hvilket år døde Michael Jackson?","2009","2007","2010","2008"
"celebrities-l1-6","1","Hvor ble sanger The Beatles medlem John Lennon født?","Liverpool, England","Manchester, England","London, England","Bristol, England"
"celebrities-l1-7","1","Hvilken kunstner malte 'Starry Night'?","Vincent van Gogh","Pablo Picasso","Claude Monet","Salvador Dalí"
"celebrities-l1-8","1","I hvilket år ble Marilyn Monroe født?","1926","1924","1928","1922"
"celebrities-l1-9","1","Hvilken nasjonalitet hadde forfatter William Shakespeare?","Engelsk","Skotsk","Irsk","Dansk"
"celebrities-l1-10","1","Hvor ble skuespilleren Audrey Hepburn født?","Brussel, Belgia","Amsterdam, Nederland","Paris, Frankrike","Zürich, Sveits"
"celebrities-l1-11","1","I hvilket år ble Beatles medlem Paul McCartney født?","1942","1940","1944","1938"
"celebrities-l1-12","1","Hvilken land er sanger Beyoncé født i?","USA","Jamaika","Canada","Trinidad og Tobago"
"celebrities-l1-13","1","Hvor ble kunstner Pablo Picasso født?","Málaga, Spania","Barcelona, Spania","Madrid, Spania","Valencia, Spania"
"celebrities-l1-14","1","I hvilket år døde skuespilleren Charlie Chaplin?","1977","1975","1979","1980"
"celebrities-l1-15","1","Hvilken nasjonalitet hadde komponist Ludwig van Beethoven?","Tysk","Østerriksk","Sveitsisk","Nederlandsk"
"celebrities-l1-16","1","Hvor ble skuespillerin Ingrid Bergman født?","Stockholm, Sverige","Oslo, Norge","København, Danmark","Helsinki, Finland"
"celebrities-l1-17","1","I hvilket år ble sanger Madonna født?","1958","1956","1960","1962"
"celebrities-l1-18","1","Hvilken land er skuespilleren Arnold Schwarzenegger født i?","Østerrike","Tyskland","Sverige","Sveits"
"celebrities-l1-19","1","Hvor ble komponist Wolfgang Amadeus Mozart født?","Salzburg, Østerrike","Wien, Østerrike","Innsbruck, Østerrike","Linz, Østerrike"
"celebrities-l1-20","1","I hvilket år ble skuespilleren Humphrey Bogart født?","1899","1895","1903","1901"
"celebrities-l1-21","1","Hvilken nasjonalitet hadde sanger David Bowie?","Britisk","Amerikansk","Tysk","Dansk"
"celebrities-l1-22","1","Hvor ble skuespilleren James Dean født?","Indiana, USA","California, USA","Texas, USA","New York, USA"
"celebrities-l1-23","1","I hvilket år døde sanger Kurt Cobain?","1994","1992","1996","1993"
"celebrities-l1-24","1","Hvilken land er skuespilleren Jackie Chan født i?","Hong Kong","Taiwan","Kina","Singapore"
"celebrities-l1-25","1","Hvor ble forfatter Jane Austen født?","Steventon, England","Bath, England","Brighton, England","Winchester, England"
"celebrities-l1-26","1","I hvilket år ble skuespilleren Meryl Streep født?","1949","1947","1951","1945"
"celebrities-l1-27","1","Hvilken nasjonalitet hadde danser Mikhail Baryshnikov?","Russisk","Ukrainsk","Belarussisk","Litauisk"
"celebrities-l1-28","1","Hvor ble sanger Freddie Mercury født?","Zanzibar, Tanzania","Dar es Salaam, Tanzania","Stone Town, Tanzania","Moshi, Tanzania"
"celebrities-l1-29","1","I hvilket år ble skuespillerin Audrey Hepburn født?","1929","1927","1931","1933"
"celebrities-l1-30","1","Hvilken land er skuespillerin Penélope Cruz født i?","Spania","Portugual","Italia","Frankrike"
"celebrities-l1-31","1","Hvor ble filmregissør Alfred Hitchcock født?","London, England","Manchester, England","Liverpool, England","York, England"
"celebrities-l1-32","1","I hvilket år døde skuespillerin Audrey Hepburn?","1993","1991","1995","1992"
"celebrities-l1-33","1","Hvilken nasjonalitet hadde skuespilleren Cary Grant?","Britisk","Amerikansk","Irlandsk","Australsk"
"celebrities-l1-34","1","Hvor ble sanger Bing Crosby født?","Tacoma, Washington, USA","Seattle, Washington, USA","Portland, Oregon, USA","San Francisco, California, USA"
"celebrities-l1-35","1","I hvilket år ble skuespillerin Vivien Leigh født?","1913","1911","1915","1917"
"celebrities-l1-36","1","Hvilken land er skuespilleren Antonio Banderas født i?","Spania","Argentina","Mexico","Chile"
"celebrities-l1-37","1","Hvor ble kunstner Frida Kahlo født?","Mexico City, Mexico","Guadalajara, Mexico","Monterrey, Mexico","Cancun, Mexico"
"celebrities-l1-38","1","I hvilket år ble sanger Aretha Franklin født?","1942","1940","1944","1946"
"celebrities-l1-39","1","Hvilken nasjonalitet hadde skuespilleren Peter O'Toole?","Irlandsk","Britisk","Amerikansk","Australsk"
"celebrities-l1-40","1","Hvor ble skuespilleren Laurence Olivier født?","Dorking, England","London, England","Bath, England","Oxford, England"
"celebrities-l1-41","1","Hvilken berømt skuespiller spiller Iron Man i Marvel-filmene?","Robert Downey Jr.","Chris Evans","Tom Hiddleston","Mark Ruffalo"
"celebrities-l1-42","1","Hva heter Taylor Swifts berømt katt?","Meredith","Olivia","Benjamin","Chloe"
"celebrities-l1-43","1","Hvilken sangstjerne er kjent for sangen 'Shape of You'?","Ed Sheeran","Bruno Mars","The Weeknd","Post Malone"
"celebrities-l1-44","1","Hva er Beyoncés fulle fornavn?","Knowles","Carter","Williams","Johnson"
"celebrities-l1-45","1","Hvilken skuespiller er kjent for rollen som Batman i nyere filmer?","Robert Pattinson","Christian Bale","Ben Affleck","Henry Cavill"
"celebrities-l1-46","1","Hvor er Dwayne 'The Rock' Johnson født?","Hawaii","California","Florida","Texas"
"celebrities-l1-47","1","Hvilken popstjerne er kjent for å være medlem av boyband One Direction?","Harry Styles","Shawn Mendes","Justin Bieber","The Weeknd"
"celebrities-l1-48","1","Hva er Oprah Winfreys største claim to fame?","Talkshow-vert","Skuespiller","Sangerinne","Regissør"
"celebrities-l1-49","1","Hvilken skuespiller er kjent for Harry Potter-serien?","Daniel Radcliffe","Rupert Grint","Tom Felton","Matthew Lewis"
"celebrities-l1-50","1","Hvor mange Grammy-priser har Beyoncé vunnet (cirka)?","32","15","24","8"
"celebrities-l1-51","1","Hvilken kjent rapper er gift med Kim Kardashian?","Kanye West","Drake","Kendrick Lamar","J. Cole"
"celebrities-l1-52","1","Hva er navnet på Elon Musks selskap som lager elbiler?","Tesla","SpaceX","Neuralink","The Boring Company"
"celebrities-l1-53","1","Hvilken amerikanske sangstjerne er kjent for sangen 'Shake It Off'?","Taylor Swift","Ariana Grande","Demi Lovato","Miley Cyrus"
"celebrities-l1-54","1","Hvor er Leonardo DiCaprio født?","Los Angeles","New York","Miami","Chicago"
"celebrities-l1-55","1","Hvilken skuespiller spiller Captain America i Marvel-filmene?","Chris Evans","Chris Hemsworth","Chris Pratt","Chris Pine"
"celebrities-l1-56","1","Hva er Angelina Jolies bekjente handelsvare?","Ikonisk skuespiller og humanitær","Modell","Danser","Musiker"
"celebrities-l1-57","1","Hvilken sangstjerne er kjent for å være fra Drake og har navnet Aubrey?","Drake","The Weeknd","6ix9ine","NAV"
"celebrities-l1-58","1","Hvor mange Oscar-statuetter har Meryl Streep vunnet?","3","5","2","4"
"celebrities-l1-59","1","Hvilken britisk sangerinne er kjent for sangen 'Someone Like You'?","Adele","Amy Winehouse","Lily Allen","Florence Welch"
"celebrities-l1-60","1","Hva er Will Smiths karrierebakgrunn før han ble skuespiller?","Rapper","Dansør","Sanger","Musiker"
"celebrities-l1-61","1","Hvilken kjent youtuber er kjent for å være gamer?","PewDiePie","MrBeast","SET India","Like Nastya"
"celebrities-l1-62","1","Hvor mange barn har Angelina Jolie og Brad Pitt sammen?","6","3","5","4"
"celebrities-l1-63","1","Hvilken skuespiller er kjent for rollen som Hermione Granger?","Emma Watson","Helena Bonham Carter","Bonnie Wright","Scarlett Byrne"
"celebrities-l1-64","1","Hva er Jennifer Anistons mest kjente TV-rolle?","Rachel Green","Monica Geller","Phoebe Buffay","Joey Tribbiani"
"celebrities-l1-65","1","Hvilken kjent sangstjerne ble født som Farrokh Bulsara?","Freddie Mercury","David Bowie","Elton John","Mick Jagger"
"celebrities-l1-66","1","Hvor er Kim Kardashian født?","Los Angeles","Miami","New York","Chicago"
"celebrities-l1-67","1","Hvilken skuespiller spiller Thor i Marvel-filmene?","Chris Hemsworth","Tom Hiddleston","Luke Hemsworth","Jeff Goldblum"
"celebrities-l1-68","1","Hva er Serena Williams kjent for?","Tennisspill","Fotball","Basketball","Golf"
"celebrities-l1-69","1","Hvilken sangstjerne er kjent for å være medlem av BTS?","Jin","CL","IU","Twice"
"celebrities-l1-70","1","Hvor mange ganger har Tom Cruise vunnet en Oscar?","0","1","2","3"
"celebrities-l1-71","1","Hvilken kjent skuespiller er kjent for rollen som Jack Sparrow?","Johnny Depp","Orlando Bloom","Geoffrey Rush","Javier Bardem"
"celebrities-l1-72","1","Hva er Cristiano Ronaldos nasjonalitet?","Portugisisk","Spansk","Italiensk","Argentinsk"
"celebrities-l1-73","1","Hvilken skuespiller er kjent for rollen som Katniss Everdeen?","Jennifer Lawrence","Shailene Woodley","Ellen Page","Kristen Stewart"
"celebrities-l1-74","1","Hva er Elon Musks födelseland?","Sør-Afrika","Canada","Australia","Tyskland"
"celebrities-l1-75","1","Hvilken sangstjerne er kjent for sangen 'Blinding Lights'?","The Weeknd","Post Malone","Juice WRLD","Travis Scott"
"celebrities-l1-76","1","Hvor er Shakira født?","Colombia","Mexico","Peru","Venezuela"
"celebrities-l1-77","1","Hvilken skuespiller spiller Black Panther i Marvel-filmene?","Chadwick Boseman","Denzel Washington","Idris Elba","Sterling K. Brown"
"celebrities-l1-78","1","Hva er Rihanna kjent for som kunstner?","Sangerinne","Skuespiller","Modell","Regissør"
"celebrities-l1-79","1","Hvor er Bill Gates født?","Seattle","San Francisco","New York","Los Angeles"
"celebrities-l1-80","1","Hvilken kjent skuespiller spiller Iron Man i Marvel-filmene?","Robert Downey Jr.","Chris Evans","Tom Hiddleston","Mark Ruffalo"
"celebrities-l1-81","1","Hva heter sangeren som er kjent for låten 'Blank Space'?","Taylor Swift","Ariana Grande","Selena Gomez","Demi Lovato"
"celebrities-l1-82","1","Hvilket land kommer fotballspilleren Cristiano Ronaldo fra?","Portugal","Spania","Italia","Frankrike"
"celebrities-l1-83","1","Hva heter skuespilleren som spiller Spider-Man i de nyeste filmene?","Tom Holland","Andrew Garfield","Tobey Maguire","Jake Gyllenhaal"
"celebrities-l1-84","1","Hvilken kjent rapper er kjent for låten 'God's Plan'?","Drake","Kendrick Lamar","J. Cole","Travis Scott"
"celebrities-l1-85","1","Hva heter skuespilleren som spiller Batman i Christopher Nolan-filmene?","Christian Bale","Ben Affleck","Michael Keaton","Val Kilmer"
"celebrities-l1-86","1","Hvilken sangerin er kjent for albumet 'Teenage Dream'?","Katy Perry","Britney Spears","Christina Aguilera","Miley Cyrus"
"celebrities-l1-87","1","Hvilket land kommer filmstjernen Tom Cruise fra?","USA","Canada","Australia","Storbritannia"
"celebrities-l1-88","1","Hva heter sangeren som er kjent for låten 'Shape of You'?","Ed Sheeran","Bruno Mars","The Weeknd","Post Malone"
"celebrities-l1-89","1","Hvilken kjent skuespiller spiller Wonder Woman i filmene?","Gal Gadot","Scarlett Johansson","Zoe Saldana","Brie Larson"
"celebrities-l1-90","1","Hva heter fotballspilleren som spiller for Paris Saint-Germain og er kjent som PSG-stjernen?","Kylian Mbappé","Neymar","Sergio Ramos","Marco Verratti"
"celebrities-l1-91","1","Hvilken sangerin er kjent for låten 'Bad Guy'?","Billie Eilish","Olivia Rodrigo","Ariana Grande","Lorde"
"celebrities-l1-92","1","Hva heter skuespilleren som spiller Captain America i Marvel-filmene?","Chris Evans","Chris Hemsworth","Chris Pratt","Sebastian Stan"
"celebrities-l1-93","1","Hvilket land kommer sanger Justin Bieber fra?","Canada","USA","Australia","Storbritannia"
"celebrities-l1-94","1","Hva heter skuespilleren som spiller Hermione i Harry Potter-filmene?","Emma Watson","Helena Bonham Carter","Emma Stone","Saoirse Ronan"
"celebrities-l1-95","1","Hvilken sangerin er kjent for låten 'Levitating'?","Dua Lipa","Ariana Grande","Tones and I","Cardi B"
"celebrities-l1-96","1","Hva heter skuespilleren som spiller Aquaman i DC-filmene?","Jason Momoa","Henry Cavill","Ben Affleck","Ezra Miller"
"celebrities-l1-97","1","Hvilket land kommer tennispilleren Serena Williams fra?","USA","Australia","Frankrike","Canada"
"celebrities-l1-98","1","Hva heter rapperen som er kjent for låten 'Lose Yourself'?","Eminem","50 Cent","Dr. Dre","Snoop Dogg"
"celebrities-l1-99","1","Hvilken skuespiller er kjent for å spille Jack Sparrow i Pirates of the Caribbean?","Johnny Depp","Orlando Bloom","Geoffrey Rush","Javier Bardem"
"celebrities-l1-100","1","Hva heter sangeren som er kjent for låten 'Uptown Funk'?","Bruno Mars","Mark Ronson","The Weeknd","Pharrell Williams"
"celebrities-l1-101","1","Hvilket land kommer skuespilleren Margot Robbie fra?","Australia","Storbritannia","Canada","Sør-Afrika"
"celebrities-l1-102","1","Hva heter skuespilleren som spiller Harry Potter i filmene?","Daniel Radcliffe","Rupert Grint","Tom Felton","Matthew Lewis"
"celebrities-l1-103","1","Hvilken sangerin er kjent for låten 'Rolling in the Deep'?","Adele","Amy Winehouse","Alicia Keys","Beyoncé"
"celebrities-l1-104","1","Hva heter skuespilleren som spiller Black Widow i Marvel-filmene?","Scarlett Johansson","Zoe Saldana","Brie Larson","Cate Blanchett"
"celebrities-l1-105","1","Hvilket land kommer basketballspilleren LeBron James fra?","USA","Canada","Australia","Tyskland"
