"id","level","prompt","correct","distractor1","distractor2","distractor3"
"geography-l1-1","1","Hva er hovedstaden i Frankrike?","Paris","Lyon","Marseille","Nice"
"geography-l1-2","1","Hva er hovedstaden i Tyskland?","Berlin","München","Hamburg","Köln"
"geography-l1-3","1","Hva er hovedstaden i Italia?","Roma","Milano","Venezia","Firenze"
"geography-l1-4","1","Hva er hovedstaden i Spania?","Madrid","Barcelona","Sevilla","Valencia"
"geography-l1-5","1","Hva er hovedstaden i Portugal?","Lisboa","Porto","Covilhã","Braga"
"geography-l1-6","1","Hva er hovedstaden i Hellas?","Athen","Thessaloniki","Patras","Larissa"
"geography-l1-7","1","Hva er hovedstaden i Polen?","Warszawa","Kraków","Wrocław","Poznań"
"geography-l1-8","1","Hva er hovedstaden i Sverige?","Stockholm","Göteborg","Malmö","Uppsala"
"geography-l1-9","1","Hva er hovedstaden i Danmark?","København","Aarhus","Odense","Ålborg"
"geography-l1-10","1","Hva er hovedstaden i Finland?","Helsinki","Tampere","Turku","Espoo"
"geography-l1-11","1","Hva er hovedstaden i Tsjekkia?","Praha","Brno","Ostrava","Plzeň"
"geography-l1-12","1","Hva er hovedstaden i Slovakia?","Bratislava","Košice","Prešov","Žilina"
"geography-l1-13","1","Hva er hovedstaden i Ungarn?","Budapest","Debrecen","Szeged","Miskolc"
"geography-l1-14","1","Hva er hovedstaden i Romania?","Bukarest","Cluj-Napoca","Timișoara","Constanța"
"geography-l1-15","1","Hva er hovedstaden i Bulgaria?","Sofia","Plovdiv","Varna","Burgas"
"geography-l1-16","1","Hva er hovedstaden i Serbia?","Beograd","Novi Sad","Niš","Kragujevac"
"geography-l1-17","1","Hva er hovedstaden i Kroatia?","Zagreb","Split","Rijeka","Osijek"
"geography-l1-18","1","Hva er hovedstaden i Slovenia?","Ljubljana","Maribor","Celje","Kranj"
"geography-l1-19","1","Hva er hovedstaden i Belgia?","Brussel","Antwerpen","Gent","Brugge"
"geography-l1-20","1","Hva er hovedstaden i Nederland?","Amsterdam","Rotterdam","Utrecht","Den Haag"
"geography-l1-21","1","Hva er hovedstaden i Norge?","Oslo","Bergen","Trondheim","Stavanger"
"geography-l1-22","1","Hva er hovedstaden i Østerrike?","Wien","Salzburg","Innsbruck","Graz"
"geography-l1-23","1","Hva er hovedstaden i Sveits?","Bern","Zürich","Genève","Basel"
"geography-l1-24","1","Hva er hovedstaden i Litauen?","Vilnius","Kaunas","Klaipėda","Šiauliai"
"geography-l1-25","1","Hva er hovedstaden i Latvia?","Riga","Daugavpils","Liepāja","Jelgava"
"geography-l1-26","1","Hva er hovedstaden i Estland?","Tallinn","Tartu","Narva","Pärnu"
"geography-l1-27","1","Hva er hovedstaden i Belarus?","Minsk","Gomel","Vitebsk","Grodno"
"geography-l1-28","1","Hva er hovedstaden i Moldova?","Chișinău","Bălți","Tiraspol","Cahul"
"geography-l1-29","1","Hva er hovedstaden i Ukraina?","Kyiv","Kharkiv","Odesa","Lviv"
"geography-l1-30","1","Hva er hovedstaden i Russland?","Moskva","St. Petersburg","Novosibirsk","Jekaterinburg"
"geography-l1-31","1","Hva er hovedstaden i Albania?","Tirana","Durrës","Vlorë","Shkodër"
"geography-l1-32","1","Hva er hovedstaden i Nord-Makedonia?","Skopje","Bitola","Kumanovo","Prilep"
