"id","level","prompt","correct","distractor1","distractor2","distractor3"
"movies-l1-1","1","I hvilken år ble den første filmen laget?","1895","1885","1905","1900"
"movies-l1-2","1","Hvem var brødrene som oppfant filmen?","Lumière-brødrene","Edison-brødrene","Skladanowsky-brødrene","Friese-Greene-brødrene"
"movies-l1-3","1","I hvilken land ble kinematografen oppfunnet?","Frankrike","Tyskland","England","USA"
"movies-l1-4","1","Hvilken film regissør laget 'Månereisen' i 1902?","Georges Méliès","Charlie Chaplin","D.W. Griffith","Buster Keaton"
"movies-l1-5","1","I hvilket år kom den første lydfilmen?","1927","1920","1930","1935"
"movies-l1-6","1","Hva het den første lydfilmen?","The Jazz Singer","The Singing Fool","Lights of New York","Show Boat"
"movies-l1-7","1","Hvilken kjent skuespiller var en silentfilm-stjerne?","Charlie Chaplin","Cary Grant","James Stewart","Humphrey Bogart"
"movies-l1-8","1","I hvilket år oppfant man fargefilm?","1935","1928","1932","1940"
"movies-l1-9","1","Hva het den første fargefilmen?","Becky Sharp","The Wizard of Oz","Gone with the Wind","Snow White"
"movies-l1-10","1","Hvilken film ble laget under andre verdenskrig og er en klassiker?","Casablanca","The Great Dictator","Battleship Potemkin","All Quiet on the Western Front"
"movies-l1-11","1","I hvilket år oppfant man widescreen-format?","1953","1950","1955","1960"
"movies-l1-12","1","Hvilken filmformat ble kalt 'Cinemascope'?","Widescreen","3D-film","Lydfilm","Animasjonsfilm"
"movies-l1-13","1","I hvilket år kom 'Citizen Kane' som regnes som en av de beste filmene?","1941","1938","1943","1945"
"movies-l1-14","1","Hvem regisserte 'Citizen Kane'?","Orson Welles","Alfred Hitchcock","John Ford","Billy Wilder"
"movies-l1-15","1","I hvilket år ble Academy Awards (Oscar) opprettet?","1929","1920","1935","1940"
"movies-l1-16","1","Hvilken amerikanske filmstudio var kjent som 'The Golden Age of Hollywood'?","Alle de store studioene","Bare MGM","Bare Warner Bros","Bare Paramount"
"movies-l1-17","1","I hvilket år kom den første Disney-animasjonsfilm?","1937","1932","1940","1945"
"movies-l1-18","1","Hva het den første Disney-animasjonsfilmen?","Snow White and the Seven Dwarfs","Cinderella","Sleeping Beauty","Pinocchio"
"movies-l1-19","1","Hvilken film regissør var kjent for sine spenningsfilmer på 1950-tallet?","Alfred Hitchcock","Otto Preminger","Billy Wilder","William Wyler"
"movies-l1-20","1","I hvilket år kom 'Gone with the Wind'?","1939","1937","1941","1943"
"movies-l1-21","1","Hvem var regissøren av 'Gone with the Wind'?","Victor Fleming","Frank Capra","John Ford","George Cukor"
"movies-l1-22","1","I hvilket år oppfant man 3D-film?","1953","1950","1960","1965"
"movies-l1-23","1","Hvilken var den første 3D-filmen?","Bwana Devil","House of Wax","Creature from the Black Lagoon","Dial M for Murder"
"movies-l1-24","1","I hvilket år kom 'Singin' in the Rain'?","1952","1950","1954","1956"
"movies-l1-25","1","Hvem var hovedskuespilleren i 'Singin' in the Rain'?","Gene Kelly","Fred Astaire","Donald O'Connor","Cyd Charisse"
"movies-l1-26","1","I hvilket år kom 'Vertigo'?","1958","1955","1960","1962"
"movies-l1-27","1","Hvilken film regissør oppfant den moderne action-filmen?","John Ford","Howard Hawks","Sam Peckinpah","Sergio Leone"
"movies-l1-28","1","I hvilket år kom den første 'James Bond'-filmen?","1962","1960","1964","1966"
"movies-l1-29","1","Hva het den første James Bond-filmen?","Dr. No","From Russia with Love","Goldfinger","Thunderball"
"movies-l1-30","1","Hvem var den første James Bond-skuespilleren?","Sean Connery","George Lazenby","Roger Moore","Timothy Dalton"
"movies-l1-31","1","I hvilket år kom 'The Graduate'?","1967","1965","1969","1971"
"movies-l1-32","1","Hvem regisserte 'The Graduate'?","Mike Nichols","Stanley Kubrick","Francis Ford Coppola","Martin Scorsese"
"movies-l1-33","1","I hvilket år kom '2001: A Space Odyssey'?","1968","1966","1970","1972"
"movies-l1-34","1","Hvem regisserte '2001: A Space Odyssey'?","Stanley Kubrick","George Lucas","Steven Spielberg","John Carpenter"
"movies-l1-35","1","I hvilket år kom 'Easy Rider'?","1969","1967","1971","1973"
"movies-l1-36","1","I hvilket år kom 'The Godfather'?","1972","1970","1974","1976"
"movies-l1-37","1","Hvem regisserte 'The Godfather'?","Francis Ford Coppola","Martin Scorsese","Steven Spielberg","John Huston"
"movies-l1-38","1","I hvilket år kom 'Jaws'?","1975","1973","1977","1979"
"movies-l1-39","1","Hvem regisserte 'Jaws'?","Steven Spielberg","John Carpenter","Ridley Scott","James Cameron"
"movies-l1-40","1","I hvilket år kom 'Star Wars'?","1977","1975","1979","1981"
"movies-l1-41","1","Hvilken kjent filmstudio er kjent for sin løveroar?","MGM","Warner Bros","Paramount","Universal"
"movies-l1-42","1","I hvilken år ble den førstekinematografen vist for publikum?","1895","1885","1905","1875"
"movies-l1-43","1","Hvor mange minutter er en standard filmrull vanligvis?","90","60","120","45"
"movies-l1-44","1","Hva kalles bevegelige bilder som vises på en lerret?","Film","Fotografi","Tegneserie","Animasjon"
"movies-l1-45","1","Hvilken Oscar-kategori gis til beste mannlige hovedrolle?","Best Actor","Best Supporting Actor","Best Director","Best Picture"
"movies-l1-46","1","I hvilken land ble Hollywood etablert?","USA","Storbritannia","Tyskland","Frankrike"
"movies-l1-47","1","Hva er en 'premiere' på en film?","Første offentlige visning","Siste visning","Privatvisning for kritikere","Øvelsesfilm"
"movies-l1-48","1","Hvor mange hoveddeler består en filmrull normalt av?","3","2","4","5"
"movies-l1-49","1","Hva er en 'trailer' på en film?","En kort kunngjøring av kommende film","Rullefilmens slutt","En oppfølgerfilm","Filmen etter åpningsscenen"
"movies-l1-50","1","Hvilken filmformat er svart-hvitt?","B&W","Technicolor","IMAX","3D"
"movies-l1-51","1","Hva kalles personen som leder filmopptakene?","Regissør","Produsent","Kameramenn","Klippekonsulent"
"movies-l1-52","1","Hvor skal man sitte når man ser en film på kino?","På stolen","På gulvet","På scenen","I kontrolløktet"
"movies-l1-53","1","Hva er en 'scene' i en film?","En kort sekvens av hendelser","Hele filmen","Lydsporet","Rulleteksten"
"movies-l1-54","1","Hvilken type film handler om sanne begivenheter?","Dokumentar","Drama","Komedie","Fantasy"
"movies-l1-55","1","Hva er navnet på personen som skriver filmmanuskriptet?","Manuskriptforfatter","Regissør","Dialogskriver","Produsent"
"movies-l1-56","1","Hva viser man når filmen begynner?","Introduksjonssesong","Annonser","Musikkvideo","Filmplakater"
"movies-l1-57","1","Hvor mange mennesker jobber vanligvis i en filmkrew?","Hundrevis","Tre til fem","Ti til tjue","To til tre"
"movies-l1-58","1","Hva er en 'statist' i en film?","En mindre rolle uten tekst","Hovedrollen","En regissør","En filmkritiker"
"movies-l1-59","1","Hvilket navn har det årlige prisgalla for filmer?","Oscarene","Golden Globes","BAFTAer","BAFTA"
"movies-l1-60","1","Hva er 'spesialeffekter' i en film?","Kunstig skapte visuelle effekter","Naturlige hendelser","Lydsporet","Skuespillernes mimikk"
"movies-l1-61","1","Hvor oppbevares filmene før visning?","I kinoprosjektørkabinett","I forsvinningskammeret","Under scenen","I karnapper"
"movies-l1-62","1","Hva er en 'montasje' i filmproduksjon?","Sammensetning av scener","Oppsetting av kamera","Musikkvalg","Kostymeplaner"
"movies-l1-63","1","Hvilken språk brukes hovedsakelig i Hollywood-filmer?","Engelsk","Fransk","Tysk","Spansk"
"movies-l1-64","1","Hva er en 'voice-over' i en film?","Forteller som snakker mens andre handler","Skuespilleren snakker selv","Musikken snakker","En melding på slutten"
"movies-l1-65","1","Hva kalles tekstene som forklarer hva folk sier?","Undertekster","Overskrifter","Karuseller","Bildeskrift"
"movies-l1-66","1","Hvilken genre er en film som får deg til å le?","Komedie","Drama","Thriller","Documentary"
"movies-l1-67","1","Hva er 'Bollywood'?","Filmindustrien i India","En kinokjede","En filmkunst","En filmfestival"
"movies-l1-68","1","Hva kalles sekvensen med navn på mennesker som jobbet på filmen?","Rulleteksten","Introduksjonen","Avslutningssangen","Plakaten"
"movies-l1-69","1","Hva er en 'animert film'?","En film laget med tegnet eller datamaskinkuvert","En live-action film","En dokumentar","En TV-serie"
"movies-l1-70","1","Hva viser man før hovedfilmen begynner?","Forfilmer og annonser","Gamle filmer","Musikkvideo","Tegneserier"
"movies-l1-71","1","Hvor er kinoen vanligvis lokalisert?","I sentrum eller shopping center","På åpen mark","Under bakken","På filmstudio"
"movies-l1-72","1","Hva er en 'filmfestival'?","Et arrangement hvor mange filmer vises","En kinokjede","En TV-kanal","Et filmselskap"
"movies-l1-73","1","Hvilken filmgenre inneholder mye action og kamp?","Action","Romantikk","Dokumentar","Musikal"
"movies-l1-74","1","Hva kalles skjermen i kinoen?","Lerret","Vegg","Panel","Teppet"
"movies-l1-75","1","Hva er '3D-film'?","Film som gir dybdeeffekt","Film med tre hovedroller","Film fra tre land","Film på tre språk"
"movies-l1-76","1","Hva er en 'oppfølger' (sequel) til en film?","En ny film som fortsetter historien","En forfilm","En omgjøring av samme film","En lignende film fra annet studio"
"movies-l1-77","1","Hvilken filmgenre handler om å skremme folk?","Horror","Komedie","Familie","Musikal"
"movies-l1-78","1","Hva er 'IMAX'?","En type ekstra stor kinovisning","En filmstudio","En skuespiller","En filmgenre"
"movies-l1-79","1","Hvor mange sekunder er en standard filmminutt?","60","30","90","120"
"movies-l1-80","1","Hva er en 'premiere-natt' for en film?","Første offentlige visningsnatt","Siste visningsnatt","En privat visningsnatt","En rehersalnatt"
"movies-l1-81","1","Hvilken skuespiller spiller Iron Man i Marvel-filmene?","Robert Downey Jr.","Chris Evans","Tom Hiddleston","Mark Ruffalo"
"movies-l1-82","1","Hvem spiller Harry Potter i filmserien?","Daniel Radcliffe","Rupert Grint","Emma Watson","Tom Felton"
"movies-l1-83","1","Hvilken skuespiller spiller Spider-Man i Marvel-filmene?","Tom Holland","Tobey Maguire","Andrew Garfield","Jake Gyllenhaal"
"movies-l1-84","1","Hvem er regissør av filmen 'Avatar'?","James Cameron","Steven Spielberg","Christopher Nolan","Martin Scorsese"
"movies-l1-85","1","Hvilken skuespiller spiller Batman i den nylige Batman-filmen?","Robert Pattinson","Ben Affleck","Christian Bale","Val Kilmer"
"movies-l1-86","1","Hvem spiller Hermione Granger i Harry Potter-filmene?","Emma Watson","Helena Bonham Carter","Bonnie Wright","Evanna Lynch"
"movies-l1-87","1","Hvilken skuespiller spiller Captain America i Marvel-filmene?","Chris Evans","Chris Hemsworth","Chris Pratt","Sebastian Stan"
"movies-l1-88","1","Hvem er regissør av 'Titanic'?","James Cameron","Steven Spielberg","George Lucas","Quentin Tarantino"
"movies-l1-89","1","Hvilken skuespiller spiller Elsa i Disney-filmen 'Frozen'?","Idina Menzel","Kristen Bell","Josh Gad","Jonathan Groff"
"movies-l1-90","1","Hvem spiller Anna i 'Frozen'?","Kristen Bell","Idina Menzel","Meghan Trainor","Kelly Clarkson"
"movies-l1-91","1","Hvilken skuespiller spiller Thor i Marvel-filmene?","Chris Hemsworth","Tom Hiddleston","Mark Ruffalo","Jeremy Renner"
"movies-l1-92","1","Hvem er regissør av 'Inception'?","Christopher Nolan","Denis Villeneuve","Ridley Scott","David Fincher"
"movies-l1-93","1","Hvilken skuespiller spiller Black Widow i Marvel-filmene?","Scarlett Johansson","Elizabeth Olsen","Gwyneth Paltrow","Cobie Smulders"
"movies-l1-94","1","Hvem spiller Jack Sparrow i 'Pirates of the Caribbean'?","Johnny Depp","Orlando Bloom","Geoffrey Rush","Javier Bardem"
"movies-l1-95","1","Hvilken skuespiller spiller Hulk/Bruce Banner i Marvel-filmene?","Mark Ruffalo","Edward Norton","Eric Bana","Lou Ferrigno"
"movies-l1-96","1","Hvem er regissør av 'The Shawshank Redemption'?","Frank Darabont","Steven Spielberg","Martin Scorsese","Clint Eastwood"
"movies-l1-97","1","Hvilken skuespiller spiller Katniss Everdeen i 'The Hunger Games'?","Jennifer Lawrence","Emma Stone","Ellen Page","Saoirse Ronan"
"movies-l1-98","1","Hvem spiller Peeta Mellark i 'The Hunger Games'?","Josh Hutcherson","Liam Hemsworth","Sam Claflin","Alexander Pettyfer"
"movies-l1-99","1","Hvilken skuespiller spiller Frodo i 'The Lord of the Rings'?","Elijah Wood","Ian McKellen","Viggo Mortensen","Orlando Bloom"
"movies-l1-100","1","Hvem er regissør av 'The Lord of the Rings'-trilogien?","Peter Jackson","Ridley Scott","Terry Gilliam","David Yates"
"movies-l1-101","1","Hvilken skuespiller spiller Gandalf i 'The Lord of the Rings'?","Ian McKellen","Christopher Lee","Patrick Stewart","John Rhys-Davies"
"movies-l1-102","1","Hvem spiller Legolas i 'The Lord of the Rings'?","Orlando Bloom","Viggo Mortensen","Sean Astin","Dominic Monaghan"
"movies-l1-103","1","Hvilken skuespiller spiller Sherlock Holmes i de nylige filmene?","Benedict Cumberbatch","Robert Downey Jr.","Jonny Lee Miller","Jeremy Brett"
"movies-l1-104","1","Hvem er regissør av 'Forrest Gump'?","Robert Zemeckis","Steven Spielberg","Frank Capra","Norman Jewison"
"movies-l1-105","1","Hvilken skuespiller spiller Forrest Gump?","Tom Hanks","Gary Sinise","Michael Conlan","Sally Field"
"movies-l1-106","1","Hvem spiller Wonder Woman i filmene?","Gal Gadot","Lynda Carter","Zoe Kazan","Charlize Theron"
"movies-l1-107","1","Hvilken skuespiller spiller Superman/Clark Kent?","Henry Cavill","Brandon Routh","Tom Welling","Christopher Reeve"
"movies-l1-108","1","Hvilken skuespiller spiller Jack Dawson i 'Titanic'?","Leonardo DiCaprio","Matt Damon","Brad Pitt","Tom Cruise"
"movies-l1-109","1","Hvem spiller Rose DeWitt Bukater i 'Titanic'?","Kate Winslet","Claire Danes","Winona Ryder","Jennifer Connelly"
"movies-l1-110","1","Hvilken skuespiller spiller Simba i den engelske versjonen av 'The Lion King'?","Donald Glover","Chiwetel Ejiofor","James Earl Jones","Beyoncé"
"movies-l1-111","1","Hvem er regissør av 'Jurassic Park'?","Steven Spielberg","George Lucas","James Cameron","Peter Jackson"
