"id","level","prompt","correct","distractor1","distractor2","distractor3"
"zoology-l1-1","1","What type of animal is a dolphin?","A mammal","A fish","An amphibian","A reptile"
"zoology-l1-2","1","How many legs does a spider have?","Eight","Six","Ten","Four"
"zoology-l1-3","1","What do herbivores eat?","Plants","Meat","Other animals","Insects"
"zoology-l1-4","1","Which animal is known as the fastest land animal?","Cheetah","Greyhound","Gazelle","Pronghorn"
"zoology-l1-5","1","What is the largest ocean animal in the world?","Blue whale","Great white shark","Giant squid","Saltwater crocodile"
"zoology-l1-6","1","How many wings does a bird typically have?","Two","Four","One","Six"
"zoology-l1-7","1","What do carnivores primarily eat?","Meat","Plants","Seeds","Fruits"
"zoology-l1-8","1","Which animal is known for its ability to change color?","Chameleon","Parrot","Poison dart frog","Peacock"
"zoology-l1-9","1","What type of animal is a penguin?","A bird","A mammal","A fish","An amphibian"
"zoology-l1-10","1","How many eyes does a bee have?","Five","Two","Three","Four"
"zoology-l1-11","1","What is the primary diet of a giraffe?","Leaves from trees","Grass","Seeds","Insects"
"zoology-l1-12","1","Which animal has the longest neck among land animals?","Giraffe","Ostrich","Llama","Emu"
"zoology-l1-13","1","What type of animal is a frog?","An amphibian","A reptile","A fish","A mammal"
"zoology-l1-14","1","How many legs does an insect have?","Six","Four","Eight","Ten"
"zoology-l1-15","1","What do bees collect from flowers?","Nectar and pollen","Seeds","Water","Insects"
"zoology-l1-16","1","Which animal is the largest land animal?","African elephant","Giraffe","Hippopotamus","Rhinoceros"
"zoology-l1-17","1","What type of teeth do herbivores typically have?","Flat molars for grinding","Sharp canines for tearing","Pointed incisors","No teeth"
"zoology-l1-18","1","How many chambers does a fish heart have?","Two","One","Three","Four"
"zoology-l1-19","1","What color blood do octopuses have?","Blue","Red","Green","Purple"
"zoology-l1-20","1","Which animal produces silk?","Silkworm","Spider","Caterpillar","Ant"
"zoology-l1-21","1","What is the only mammal that lays eggs?","Platypus","Echidna","Kangaroo","Koala"
