"id","level","prompt","correct","distractor1","distractor2","distractor3"
"litterature-l1-1","1","In which country was William Shakespeare born?","England","Scotland","Ireland","Wales"
"litterature-l1-2","1","What century did Jane Austen write her famous novels?","19th century","18th century","20th century","17th century"
"litterature-l1-3","1","Which country is Charles Dickens from?","England","France","Germany","Italy"
"litterature-l1-4","1","In what year did Hans Christian Andersen die?","1875","1850","1890","1860"
"litterature-l1-5","1","What nationality was Leo Tolstoy?","Russian","Polish","Czech","Hungarian"
"litterature-l1-6","1","Which author wrote 'Pride and Prejudice'?","Jane Austen","Charlotte Brontë","Emily Dickinson","George Eliot"
"litterature-l1-7","1","In which century was Miguel de Cervantes born?","16th century","15th century","17th century","18th century"
"litterature-l1-8","1","What country did Dante Alighieri come from?","Italy","Spain","France","Greece"
"litterature-l1-9","1","Which author wrote 'One Thousand and One Nights'?","Unknown","Arabian author","Egyptian scribe","Persian poet"
"litterature-l1-10","1","In what year was Shakespeare born?","1564","1574","1554","1584"
"litterature-l1-11","1","What nationality was Fyodor Dostoevsky?","Russian","Ukrainian","Belarusian","Georgian"
"litterature-l1-12","1","Which country is Homer from according to tradition?","Greece","Turkey","Egypt","Persia"
"litterature-l1-13","1","In which century did Molière write his plays?","17th century","16th century","18th century","15th century"
"litterature-l1-14","1","What nationality was Gustave Flaubert?","French","Belgian","Swiss","Dutch"
"litterature-l1-15","1","Which author wrote 'Moby Dick'?","Herman Melville","Nathaniel Hawthorne","James Fenimore Cooper","Mark Twain"
"litterature-l1-16","1","In what year did Mark Twain die?","1910","1900","1920","1915"
"litterature-l1-17","1","What country did Oscar Wilde come from?","Ireland","England","Scotland","Wales"
"litterature-l1-18","1","Which author wrote 'Wuthering Heights'?","Emily Brontë","Charlotte Brontë","Anne Brontë","Jane Austen"
"litterature-l1-19","1","In which century was Virgil born?","1st century BCE","2nd century BCE","1st century CE","2nd century CE"
"litterature-l1-20","1","What nationality was Aleksandr Pushkin?","Russian","Polish","Bulgarian","Serbian"
"litterature-l1-21","1","Which author wrote 'The Great Gatsby'?","F. Scott Fitzgerald","Ernest Hemingway","William Faulkner","John Steinbeck"
"litterature-l1-22","1","In what year was Jane Austen born?","1775","1765","1785","1795"
"litterature-l1-23","1","What country is Honoré de Balzac from?","France","Italy","Spain","Portugal"
"litterature-l1-24","1","Which author wrote 'Frankenstein'?","Mary Shelley","Jane Austen","Ann Radcliffe","Fanny Burney"
"litterature-l1-25","1","In which century did Ovid live?","1st century BCE to 1st century CE","2nd century BCE","2nd century CE","3rd century CE"
"litterature-l1-26","1","What nationality was Émile Zola?","French","German","Austrian","Czech"
"litterature-l1-27","1","Which author wrote 'Jane Eyre'?","Charlotte Brontë","Emily Brontë","Anne Brontë","George Eliot"
