"id","level","prompt","correct","distractor1","distractor2","distractor3"
"football-l1-1","1","Hvilket land regnes som fotballens opphavsland?","England","Frankrike","Italia","Tyskland"
"football-l1-2","1","I hvilket år ble FIFA grunnlagt?","1904","1890","1920","1930"
"football-l1-3","1","Hvilket år ble første fotballkamp spilt i England?","1862","1850","1875","1880"
"football-l1-4","1","Hvilket land arrangerte første fotball-VM?","Uruguay","Italia","Frankrike","Sverige"
"football-l1-5","1","I hvilket år ble første fotball-VM arrangert?","1930","1924","1934","1938"
"football-l1-6","1","Hvem vant første fotball-VM?","Uruguay","Argentina","Brasil","Paraguay"
"football-l1-7","1","I hvilket land ble moderne fotballregler først skrevet ned?","England","Tyskland","Nederland","Skottland"
"football-l1-8","1","Hvilken engelsk skole lagde de første fotballreglene?","Eton College","Harrow School","Rugby School","Winchester College"
"football-l1-9","1","I hvilket år ble European Cup (nå Champions League) grunnlagt?","1955","1950","1960","1965"
"football-l1-10","1","Hvilket engelsk lag vant første European Cup?","Real Madrid","Manchester United","Arsenal","Chelsea"
"football-l1-11","1","Hvilken europeisk turnering ble først arrangert i 1960?","EM for fotball","Copa América","Afrika-cupen","Årsien-cupen"
"football-l1-12","1","I hvilket år ble professionell fotball tillatt i England?","1885","1880","1890","1875"
"football-l1-13","1","Hvilket land holdt det første nasjonale fotballmesterskapet?","England","Sverige","Danmark","Nederland"
"football-l1-14","1","I hvilket år startet FA Cup, verdens eldste fotballturnering?","1871","1865","1880","1860"
"football-l1-15","1","Hvilket lag vant første FA Cup?","Wanderers","Royal Engineers","Crystal Palace","Preston North End"
"football-l1-16","1","Hva het fotballen da den først ble spilt i Tyskland?","Football","Fussballe","Ballspiel","Sportstanz"
"football-l1-17","1","I hvilket år ble Premier League etablert i England?","1992","1990","1995","1988"
"football-l1-18","1","Hvilket land var først til å ha et nasjonalt fotballag?","England","Skottland","Danmark","Sverige"
"football-l1-19","1","I hvilket år spilte England første internasjonale fotballkamp?","1872","1870","1875","1880"
"football-l1-20","1","Hvem møtte England i verdens første internasjonale fotballkamp?","Skottland","Wales","Irland","Tyskland"
"football-l1-21","1","I hvilket år ble offside-regelen introdusert i fotball?","1866","1862","1870","1875"
"football-l1-22","1","Hvilken engelsk by er kjent som fotballens vugge?","Sheffield","Manchester","Liverpool","Leeds"
"football-l1-23","1","I hvilket år ble første fotballstadion bygget?","1892","1885","1900","1895"
"football-l1-24","1","Hvilket land vant fotball-VM i 1934?","Italia","Tyskland","Tsjekkoslovakia","Sverige"
"football-l1-25","1","I hvilket år vant Brasil sitt første fotball-VM?","1958","1950","1962","1955"
"football-l1-26","1","Hvilken engelsk liga er den eldste landsdelvis ligaen?","Football League","Premier League","Championship","Conference"
"football-l1-27","1","I hvilket år ble Football League etablert?","1888","1885","1890","1882"
"football-l1-28","1","Hvilken tysk by regnes som fotballens sentrum i Tyskland?","Berlin","München","Hamburg","Düsseldorf"
"football-l1-29","1","I hvilket år vant Tyskland sitt første fotball-VM?","1954","1950","1958","1962"
"football-l1-30","1","Hvilken fransk by arrangerte første EM for fotball?","Paris","Lyon","Marseille","Nice"
"football-l1-31","1","I hvilket år ble penaltyregelen introdusert?","1891","1888","1895","1885"
"football-l1-32","1","Hvor lang er mållinjen på en fotballbane ifølge opprinnelige regler?","100 yards","120 yards","80 yards","110 yards"
"football-l1-33","1","Hvilket land organiserte første Copa América?","Argentina","Brasil","Uruguay","Chile"
"football-l1-34","1","I hvilket år ble Copa América første gang arrangert?","1916","1910","1920","1912"
"football-l1-35","1","Hvilken italiensk liga ble etablert først?","Serie A","Serie B","Coppa Italia","Lega Pro"
"football-l1-36","1","I hvilket år ble Serie A etablert i Italia?","1929","1925","1930","1935"
"football-l1-37","1","Hvilket stykke møbler brukes til å markere hjørnet av banen?","Flagg","Kjegle","Stolpe","Snor"
"football-l1-38","1","I hvilket århundre utviklet moderne fotball seg?","1800-tallet","1700-tallet","1900-tallet","1600-tallet"
"football-l1-39","1","Hvilken engelsk by er kjent som fotballens opphavssted?","Manchester","London","Birmingham","Newcastle"
"football-l1-40","1","I hvilket år ble gul og rød kort introdusert i fotball?","1970","1965","1975","1968"
"football-l1-41","1","Hvor mange spillere fra hvert lag er på banen i fotball?","11","10","12","9"
