"id","level","prompt","correct","distractor1","distractor2","distractor3"
"geography-l1-1","1","What is the capital of France?","Paris","Lyon","Marseille","Nice"
"geography-l1-2","1","What is the capital of Germany?","Berlin","Munich","Hamburg","Frankfurt"
"geography-l1-3","1","What is the capital of Spain?","Madrid","Barcelona","Seville","Valencia"
"geography-l1-4","1","What is the capital of Italy?","Rome","Milan","Venice","Florence"
"geography-l1-5","1","What is the capital of Poland?","Warsaw","Krakow","Gdansk","Wroclaw"
"geography-l1-6","1","What is the capital of Greece?","Athens","Thessaloniki","Patras","Larissa"
"geography-l1-7","1","What is the capital of Sweden?","Stockholm","Gothenburg","Malmö","Uppsala"
"geography-l1-8","1","What is the capital of Denmark?","Copenhagen","Aarhus","Odense","Aalborg"
"geography-l1-9","1","What is the capital of Finland?","Helsinki","Tampere","Turku","Espoo"
"geography-l1-10","1","What is the capital of Portugal?","Lisbon","Porto","Braga","Covilha"
"geography-l1-11","1","What is the capital of Czech Republic?","Prague","Brno","Ostrava","Plzen"
"geography-l1-12","1","What is the capital of Hungary?","Budapest","Debrecen","Szeged","Miskolc"
"geography-l1-13","1","What is the capital of Romania?","Bucharest","Cluj-Napoca","Timisoara","Constanta"
"geography-l1-14","1","What is the capital of Bulgaria?","Sofia","Plovdiv","Varna","Burgas"
"geography-l1-15","1","What is the capital of Croatia?","Zagreb","Split","Rijeka","Osijek"
"geography-l1-16","1","What is the capital of Serbia?","Belgrade","Nis","Zemun","Subotica"
"geography-l1-17","1","What is the capital of Austria?","Vienna","Salzburg","Innsbruck","Graz"
"geography-l1-18","1","What is the capital of Switzerland?","Bern","Zurich","Geneva","Lucerne"
"geography-l1-19","1","What is the capital of Netherlands?","Amsterdam","Rotterdam","The Hague","Utrecht"
"geography-l1-20","1","What is the capital of Belgium?","Brussels","Antwerp","Ghent","Bruges"
"geography-l1-21","1","What is the capital of Ireland?","Dublin","Cork","Galway","Limerick"
"geography-l1-22","1","What is the capital of United Kingdom?","London","Manchester","Liverpool","Birmingham"
"geography-l1-23","1","What is the capital of Scotland?","Edinburgh","Glasgow","Aberdeen","Dundee"
"geography-l1-24","1","What is the capital of Wales?","Cardiff","Swansea","Newport","Caerphilly"
"geography-l1-25","1","What is the capital of Slovakia?","Bratislava","Kosice","Presov","Zilina"
"geography-l1-26","1","What is the capital of Slovenia?","Ljubljana","Maribor","Kranj","Celje"
"geography-l1-27","1","What is the capital of Lithuania?","Vilnius","Kaunas","Klaipeda","Siauliai"
"geography-l1-28","1","What is the capital of Latvia?","Riga","Daugavpils","Liepaja","Jelgava"
"geography-l1-29","1","What is the capital of Estonia?","Tallinn","Tartu","Narva","Parnu"
"geography-l1-30","1","What is the capital of Ukraine?","Kyiv","Kharkiv","Odesa","Lviv"
"geography-l1-31","1","What is the capital of Belarus?","Minsk","Brest","Grodno","Vitebsk"
"geography-l1-32","1","What is the capital of Moldova?","Chișinău","Tiraspol","Balti","Bender"
"geography-l1-33","1","What is the capital of Albania?","Tirana","Durrës","Vlora","Elbasan"
"geography-l1-34","1","What is the capital of Macedonia?","Skopje","Bitola","Kumanovo","Prilep"
"geography-l1-35","1","What is the capital of Bosnia and Herzegovina?","Sarajevo","Banja Luka","Mostar","Zenica"
