"id","level","prompt","correct","distractor1","distractor2","distractor3"
"computer_sience-l1-1","1","What does CPU stand for?","Central Processing Unit","Central Program Utility","Computer Processing Unit","Central Processor Utility"
"computer_sience-l1-2","1","What does RAM stand for?","Random Access Memory","Read Access Memory","Rapid Application Module","Real Allocation Memory"
"computer_sience-l1-3","1","How many bits are in one byte?","8","4","16","2"
"computer_sience-l1-4","1","What is the smallest unit of data in computing?","Bit","Byte","Kilobyte","Megabyte"
"computer_sience-l1-5","1","Which company created the first personal computer?","Apple","Microsoft","IBM","Commodore"
"computer_sience-l1-6","1","What does HTML stand for?","HyperText Markup Language","High Tech Modern Language","Home Tool Markup Language","Hyperlink and Text Markup Language"
"computer_sience-l1-7","1","In what year was the World Wide Web invented?","1989","1983","1995","1991"
"computer_sience-l1-8","1","What does USB stand for?","Universal Serial Bus","Universal System Bus","Universal Software Bus","Uniform Serial Bus"
"computer_sience-l1-9","1","What is the primary function of a motherboard?","Connect all computer components together","Store permanent data","Cool the computer","Display images on screen"
"computer_sience-l1-10","1","Which programming language is known for web development?","JavaScript","Python","C++","Assembly"
"computer_sience-l1-11","1","What does GPU stand for?","Graphics Processing Unit","General Processing Unit","Global Processing Unit","Graphics Program Utility"
"computer_sience-l1-12","1","How many bytes are in one kilobyte?","1024","512","2048","256"
"computer_sience-l1-13","1","What is the name of the company that created Windows?","Microsoft","Apple","Intel","Google"
"computer_sience-l1-14","1","What does CSS stand for?","Cascading Style Sheets","Computer Style System","Creative Style Sheets","Central Styling System"
"computer_sience-l1-15","1","Which company created the Java programming language?","Sun Microsystems","Oracle","IBM","Microsoft"
"computer_sience-l1-16","1","What does SSD stand for?","Solid State Drive","Super Speed Drive","Serial Storage Device","Solid Storage Device"
"computer_sience-l1-17","1","What is the main purpose of an operating system?","Manage hardware and software resources","Store files permanently","Display graphics","Connect to the internet"
"computer_sience-l1-18","1","In what year was the first iPhone released?","2007","2005","2009","2003"
"computer_sience-l1-19","1","What does HTTP stand for?","HyperText Transfer Protocol","High Tech Transfer Protocol","Hyperlink Transfer Program","Home Text Transfer Protocol"
"computer_sience-l1-20","1","Which company created Python programming language?","Guido van Rossum","Bjarne Stroustrup","Dennis Ritchie","James Gosling"
"computer_sience-l1-21","1","What does AI stand for?","Artificial Intelligence","Advanced Internet","Automated Input","Applied Information"
"computer_sience-l1-22","1","What is the binary number system based on?","Two digits (0 and 1)","Ten digits (0-9)","Eight digits (0-7)","Sixteen digits (0-F)"
"computer_sience-l1-23","1","Which company created the Android operating system?","Google","Apple","Samsung","Microsoft"
"computer_sience-l1-24","1","What does DNS stand for?","Domain Name System","Digital Network Service","Data Network System","Dynamic Network Server"
"computer_sience-l1-25","1","What is the purpose of a firewall?","Protect a computer from unauthorized access","Cool the computer","Speed up internet connection","Store backup files"
