"id","level","prompt","correct","distractor1","distractor2","distractor3"
"cars-l1-1","1","Hvem oppfant bilen med forbrenningsmotor?","Gottlieb Daimler og Karl Benz","Nicolaus Otto og Étienne Lenoir","Rudolf Diesel og Siegfried Marcus","Charles Goodyear og John Boyd Dunlop"
"cars-l1-2","1","I hvilket år ble den første bilen med forbrenningsmotor oppfunnet?","1885-1886","1879-1880","1891-1892","1873-1874"
"cars-l1-3","1","Hvilken bil blir ofte kalt 'den første moderne bilen'?","Benz Patent-Motorwagen","Panhard et Levassor","Daimler Motorkutsche","De Dion-Bouton"
"cars-l1-4","1","Fra hvilket land kom Karl Benz?","Tyskland","Frankrike","Østerrike","Sverige"
"cars-l1-5","1","Hvem oppfant det pneumatiske (luftfylte) dekket?","John Boyd Dunlop","Robert William Thomson","Charles Michelin","André Michelin"
"cars-l1-6","1","I hvilket år ble det pneumatiske dekket oppfunnet?","1888","1872","1895","1881"
"cars-l1-7","1","Hvem startet Ford Motor Company?","Henry Ford","Edsel Ford","Ransom E. Olds","William C. Durant"
"cars-l1-8","1","I hvilket år ble Ford Motor Company grunnlagt?","1903","1897","1908","1911"
"cars-l1-9","1","Hvilken bil introduserte Henry Ford i 1908?","Ford Model T","Ford Model A","Ford Model N","Ford Model B"
"cars-l1-10","1","Hva var revolusjonært ved Ford Model T?","Den var billig og masseprodusert","Den hadde elektrisk oppstart","Den kunne kjøre på både bensin og elektrisk","Den hadde automatisk girkasse"
"cars-l1-11","1","Hvem oppfant samlebåndet for bilproduksjon?","Henry Ford","Gottlieb Daimler","Karl Benz","Ransom E. Olds"
"cars-l1-12","1","Fra hvilket land kom Gottlieb Daimler?","Tyskland","Frankrike","Sveits","Italien"
"cars-l1-13","1","Hvilken bil blir ofte kalt den første bilen med bensinmotor som ble solgt?","Panhard et Levassor","Daimler Motorkutsche","Benz Patent-Motorwagen","De Dion-Bouton Quadricycle"
"cars-l1-14","1","Fra hvilket land kom Panhard et Levassor?","Frankrike","Tyskland","Italia","Belgia"
"cars-l1-15","1","Hvem oppfant den første elektriske bilen?","Gaston Planté eller Camille Jeantaud","Thomas Davenport","Nicolaus Otto","Rudolf Diesel"
"cars-l1-16","1","I hvilket år ble den første kjente elektriske bilen bygget?","1881","1865","1891","1877"
"cars-l1-17","1","Hvem oppfant dieselmotoren?","Rudolf Diesel","Karl Benz","Nicolaus Otto","Gottlieb Daimler"
"cars-l1-18","1","I hvilket år ble dieselmotoren patentert?","1897","1885","1903","1892"
"cars-l1-19","1","Hvem oppfant ottomotoren (firetaktsmotoren)?","Nicolaus Otto","Karl Benz","Gottlieb Daimler","Rudolf Diesel"
"cars-l1-20","1","Fra hvilket land kom Nicolaus Otto?","Tyskland","Østerrike","Danmark","Sveits"
"cars-l1-21","1","Hvilken bil var den første som ble masseprodusert?","Ford Model T","Oldsmobile","Cadillac","Buick"
"cars-l1-22","1","Hvor mange Model T-biler ble solgt?","Over 15 millioner","Over 5 millioner","Over 25 millioner","Over 1 million"
"cars-l1-23","1","Hvem grunnla Renault?","Louis Renault","André Michelin","Georges Bouton","Armand Peugeot"
"cars-l1-24","1","I hvilket år ble Renault grunnlagt?","1898","1891","1905","1889"
"cars-l1-25","1","Hvem grunnla Peugeot?","Armand Peugeot","Jean-Baptiste Peugeot","Louis Renault","André Citroën"
"cars-l1-26","1","I hvilket år ble Peugeot grunnlagt som bilprodusent?","1891","1885","1898","1905"
"cars-l1-27","1","Hvem grunnla Citroën?","André Citroën","Louis Renault","Armand Peugeot","Gabriel Voisin"
"cars-l1-28","1","I hvilket år ble Citroën grunnlagt?","1919","1911","1925","1914"
"cars-l1-29","1","Hvilken var den første Citroën-bilen?","Citroën Type A","Citroën Type B","Citroën C5","Citroën DS"
"cars-l1-30","1","Fra hvilket land kom André Citroën?","Frankrike","Tyskland","Belgia","Sveits"
"cars-l1-31","1","Hvem oppfant servostyring (power steering)?","Francis W. Davis","Henry Ford","Karl Benz","Gottlieb Daimler"
"cars-l1-32","1","I hvilket år ble servostyring oppfunnet?","1926","1920","1935","1932"
"cars-l1-33","1","Hvem grunnla Volkswagen?","Ferdinand Porsche","Karl Benz","Gottlieb Daimler","Rudolf Diesel"
"cars-l1-34","1","I hvilket år ble Volkswagen grunnlagt?","1937","1931","1945","1925"
"cars-l1-35","1","Hvilken var den første Volkswagen-bilen?","Volkswagen Type 1 (Beetle)","Volkswagen Type 2","Volkswagen Golf","Volkswagen Passat"
"cars-l1-36","1","Fra hvilket land kom Ferdinand Porsche?","Østerrike","Tyskland","Ungarn","Tsjekkia"
"cars-l1-37","1","Hvem grunnla Rolls-Royce?","Charles Rolls og Henry Royce","William Lyons og William Walmsley","Harry Frederick og Austin Herbert","Ettore Bugatti og Jean Bugatti"
"cars-l1-38","1","I hvilket år ble Rolls-Royce grunnlagt?","1906","1900","1912","1898"
"cars-l1-39","1","Fra hvilket land kom Rolls-Royce?","Storbritannia","Frankrike","Tyskland","Italia"
"cars-l1-40","1","Hvor mange hjul har en vanlig bil?","Fire","Tre","Fem","Seks"
"cars-l1-41","1","Hva brukes bensin til i en bil?","Å drive motoren","Å kjøle ned bremser","Å smøre hjulene","Å lade batteriet"
"cars-l1-42","1","Hvilken del av bilen styrer retningen?","Rattet","Pedalene","Speilene","Dørene"
"cars-l1-43","1","Hva er en airbag?","En sikkerhetspute som fyller seg med luft","En type drivstoff","En motor som driver bilen","Et dekk som fylles med luft"
"cars-l1-44","1","Hva brukes bremser til?","Å stoppe eller bremse bilen","Å gjøre bilen kjøre fortere","Å styre bilen til siden","Å varme opp motoren"
"cars-l1-45","1","Hva er en drivstofftank?","Beholdere som lagrer bensin eller diesel","Et sted hvor biler blir reparert","En del av bremsesystemet","En motor som driver bilen"
"cars-l1-46","1","Hvilken farge har bremselyset på en bil?","Rødt","Gult","Hvitt","Grønt"
"cars-l1-47","1","Hva er en bilmotor?","Maskinen som driver bilen","Dekket på bilen","Styringssystemet","Bremsepladsen"
"cars-l1-48","1","Hva brukes sidespeilene til?","Å se hva som er på siden av bilen","Å styre bilen","Å bremse bilen","Å varme vindusruten"
"cars-l1-49","1","Hvilken type drivstoff bruker de fleste biler i Norge?","Bensin eller diesel","Paraffin","Metangas","Parafin"
"cars-l1-50","1","Hva er en bilbatteri?","En enhet som lagrer elektrisk energi","En type drivstoff","Et bremsesystem","En motor del"
"cars-l1-51","1","Hva er et bildekk?","Gummibelegget som omgir hjulet","En del av motoren","Et bremsesystem","Et styringssystem"
"cars-l1-52","1","Hva brukes girkassen til?","Å endre hastigheten på hjulene","Å styre bilen","Å bremse bilen","Å kjøle motoren"
"cars-l1-53","1","Hvilken farge har kjørelyset på en bil?","Hvitt","Gult","Rødt","Grønt"
"cars-l1-54","1","Hva er et hjullagrer?","En komponent som lar hjulet rotere","En del av bremsene","En motor del","Et styringssystem"
"cars-l1-55","1","Hva brukes vindusviskeren til?","Å rense vinduet for regn og smuss","Å varme vindusruten","Å bremse bilen","Å styre bilen"
"cars-l1-56","1","Hva er bilens karosseri?","Bilens ytre skall eller struktur","Bilens motor","Bilens bremsesystem","Bilens girkasse"
