"id","level","prompt","correct","distractor1","distractor2","distractor3"
"tv-l1-1","1","Hvilken farge er Superman sin kappe?","Rød","Blå","Gul","Grønn"
"tv-l1-2","1","Hva heter hovedpersonen i serien SpongeBob?","SpongeBob Firkant","Patrick Stjerne","Squidward Tentakel","Mr. Krabs"
"tv-l1-3","1","Hvilken land produserer serien 'Downton Abbey'?","England","Sverige","Frankrike","Irland"
"tv-l1-4","1","Hva er navnet på leieleieren i Friends?","Mr. Geller","Mr. Bing","Mr. Perry","Mr. Tribbiani"
"tv-l1-5","1","Hvilken superhelt er kjent for sin grønne farge?","Hulk","Iron Man","Thor","Captain America"
"tv-l1-6","1","Hva heter byen hvor 'The Simpsons' foregår?","Springfield","Shelbyville","Capital City","Ogdenville"
"tv-l1-7","1","Hvilken TV-serie handler om en kjemiker som blir gangster?","Breaking Bad","The Wire","Dexter","Ozark"
"tv-l1-8","1","Hva er navnet på Batman sin butler?","Alfred","James","Robert","Edward"
"tv-l1-9","1","I hvilken år startet 'Game of Thrones' på HBO?","2011","2009","2013","2010"
"tv-l1-10","1","Hva heter hovedpersonen i serien 'Stranger Things'?","Mike Wheeler","Dustin Henderson","Lucas Sinclair","Will Byers"
"tv-l1-11","1","Hvilken farge er Hulks hud?","Grønn","Blå","Purpur","Rød"
"tv-l1-12","1","Hva heter TV-serien med vampyrer i Mystic Falls?","The Vampire Diaries","True Blood","Twilight Series","Buffy the Vampire Slayer"
"tv-l1-13","1","Hvilken streaming-tjeneste produserer 'The Crown'?","Netflix","Amazon Prime","Disney+","HBO Max"
"tv-l1-14","1","Hva heter hovedpersonen i 'The Office' (amerikansk versjon)?","Michael Scott","Jim Halpert","Dwight Schrute","Pam Beesly"
"tv-l1-15","1","Hvilken superhelt er Spider-Man sin rivaliserende karakter?","Green Goblin","Doctor Octopus","Venom","Sandman"
"tv-l1-16","1","Hva er navnet på katten i serien 'The Simpsons'?","Snowball","Fluffy","Whiskers","Mittens"
"tv-l1-17","1","I hvilken land foregår serien 'Peaky Blinders'?","England","Irland","Skottland","Wales"
"tv-l1-18","1","Hva heter hovedkarakteren som er lærer i 'Breaking Bad'?","Walter White","Jesse Pinkman","Hank Schrader","Mike Ehrmantraut"
"tv-l1-19","1","Hvilken superhelt bruker Mjolnir som våpen?","Thor","Odin","Loki","Heimdall"
"tv-l1-20","1","Hva heter hovedpersonen i serien 'Dexter'?","Dexter Morgan","Debra Morgan","Vince Masuka","Rita Bennett"
"tv-l1-21","1","Hvilken TV-serie handler om medarbeidere på et TV-stasjon?","Murphy Brown","Newsradio","The Mary Tyler Moore Show","30 Rock"
"tv-l1-22","1","Hva er navnene på de tre hovedpersonene i 'Charlie's Angels'?","Sabrina, Jill og Kelly","Rachel, Monica og Phoebe","Sarah, Emma og Lisa","Amanda, Jennifer og Nicole"
"tv-l1-23","1","Hvilken superhelt er kjent for sitt røde og blå kostyme?","Spider-Man","Superman","Batman","Captain America"
"tv-l1-24","1","Hva heter hovedpersonen i serien 'Sherlock'?","Sherlock Holmes","John Watson","Moriarty","Inspector Lestrade"
"tv-l1-25","1","I hvilken år endte serien 'The Office' (amerikansk versjon)?","2013","2012","2014","2011"
