"id","level","prompt","correct","distractor1","distractor2","distractor3"
"video_games-l1-1","1","Which company created the first commercially successful home video game console?","Atari","Nintendo","Sega","Mattel"
"video_games-l1-2","1","In what year was the Atari 2600 released?","1977","1975","1979","1980"
"video_games-l1-3","1","Which game is often credited as the first arcade video game?","Pong","Space Invaders","Pac-Man","Donkey Kong"
"video_games-l1-4","1","What year was Pong released in arcades?","1972","1970","1974","1976"
"video_games-l1-5","1","Which company developed the Nintendo Entertainment System (NES)?","Nintendo","Atari","Sega","Commodore"
"video_games-l1-6","1","In what year was the NES released in North America?","1985","1983","1987","1989"
"video_games-l1-7","1","Which game saved the video game industry from the 1983 crash?","Super Mario Bros.","The Legend of Zelda","Donkey Kong","Metroid"
"video_games-l1-8","1","What year did the video game crash of 1983 significantly impact the industry?","1983","1981","1985","1980"
"video_games-l1-9","1","Which arcade game featured a yellow character eating dots?","Pac-Man","Donkey Kong","Ms. Pac-Man","Dig Dug"
"video_games-l1-10","1","What year was Pac-Man released?","1980","1978","1982","1979"
"video_games-l1-11","1","Which game featured a gorilla throwing barrels at a man?","Donkey Kong","King Kong","Gorilla","Ape Escape"
"video_games-l1-12","1","What year was Donkey Kong released in arcades?","1981","1980","1982","1983"
"video_games-l1-13","1","Which company created Space Invaders?","Taito","Atari","Namco","Midway"
"video_games-l1-14","1","What year was Space Invaders released?","1978","1976","1980","1977"
"video_games-l1-15","1","Which console was Nintendo's first major success in the home market?","NES","Game Boy","Super Nintendo","Virtual Boy"
"video_games-l1-16","1","What year was the Game Boy released?","1989","1987","1991","1988"
"video_games-l1-17","1","Which handheld device featured games like Tetris as a pack-in title?","Game Boy","Atari Lynx","Game Gear","Sega Nomad"
"video_games-l1-18","1","What year was Tetris released for the Game Boy?","1989","1988","1990","1987"
"video_games-l1-19","1","Which company created the Sega Genesis?","Sega","Nintendo","Atari","Sony"
"video_games-l1-20","1","What year was the Sega Genesis released in North America?","1989","1988","1990","1991"
"video_games-l1-21","1","Which console competed with the NES in the 16-bit generation?","Sega Genesis","Sega Master System","Atari 7800","Commodore 64"
"video_games-l1-22","1","What year was the Super Nintendo Entertainment System (SNES) released in North America?","1991","1990","1992","1989"
"video_games-l1-23","1","Which company developed the first PlayStation console?","Sony","Nintendo","Sega","Microsoft"
"video_games-l1-24","1","What year was the original PlayStation released?","1994","1995","1993","1996"
"video_games-l1-25","1","Which was the first game to feature the character Mario?","Donkey Kong","Super Mario Bros.","Mario Bros.","Mario's Time Machine"
"video_games-l1-26","1","What year did Shigeru Miyamoto create Mario for Donkey Kong?","1981","1980","1982","1983"
"video_games-l1-27","1","Which game series featured the hero Link?","The Legend of Zelda","Metroid","Castlevania","Dragon Quest"
"video_games-l1-28","1","What year was the first Legend of Zelda game released?","1986","1985","1987","1988"
"video_games-l1-29","1","Which platform was the Atari 2600 primarily competing against when released?","Intellivision","Commodore 64","Apple II","ColecoVision"
"video_games-l1-30","1","What year did the Commodore 64 become the best-selling home computer?","1982","1980","1984","1983"
"video_games-l1-31","1","Which gaming company was founded by Ralph H. Baer in 1967?","Magnavox","Atari","Nintendo","Sega"
"video_games-l1-32","1","What was the first home video game console released?","Magnavox Odyssey","Atari 2600","Fairchild Channel F","RCA Studio II"
"video_games-l1-33","1","What year was the Magnavox Odyssey released?","1972","1970","1974","1973"
