"id","level","prompt","correct","distractor1","distractor2","distractor3"
"politics-l1-1","1","Hvor mange år varer en stortingsperiode i Norge?","4 år","3 år","5 år","6 år"
"politics-l1-2","1","Hvem er statsminister i Norge per 2024?","Jonas Gahr Støre","Erna Solberg","Jens Stoltenberg","Knut Erik Skaug"
"politics-l1-3","1","Hva kalles det norske parlamentet?","Stortinget","Folketing","Riksdag","Lagting"
"politics-l1-4","1","Hvor mange fylker har Norge?","11","15","19","8"
"politics-l1-5","1","Hva kalles det øverste organ i EU?","Europakommisjonen","Europaparlamentet","Ministerrådet","Domstolen"
"politics-l1-6","1","Hvor mange medlemmer har Stortinget?","169","150","200","120"
"politics-l1-7","1","Hvem er kongen av Norge?","Harald V","Haakon VII","Carl XVI Gustaf","Frederik X"
"politics-l1-8","1","I hvilket år fikk kvinner stemmerett i Norge?","1913","1901","1920","1945"
"politics-l1-9","1","Hva kalles systemet der makten deles mellom flere partier?","Koalisjonsregjering","Diktatur","Monarkiet","Autokrati"
"politics-l1-10","1","Hvor mange år må en person være for å stemme ved Stortingsvalg i Norge?","18 år","16 år","21 år","20 år"
"politics-l1-11","1","Hva er hovedstaden i Sverige?","Stockholm","Göteborg","Uppsala","Malmö"
"politics-l1-12","1","Hvem leder Europaparlamentet?","Roberta Metsola","Ursula von der Leyen","Charles Michel","Josep Borrell"
"politics-l1-13","1","I hvilket år gikk Norge ut av Unionen med Sverige?","1905","1814","1945","1920"
"politics-l1-14","1","Hva kalles et valg der hele folket bestemmer?","Folkeavstemning","Primærvalg","Kommunalvalg","Fylkesvalg"
"politics-l1-15","1","Hvor mange dager skal en regjering ha til å danne seg etter valg i Norge?","2 måneder","1 måned","3 måneder","1 uke"
"politics-l1-16","1","Hva er hovedstaden i Danmark?","København","Aarhus","Odense","Aalborg"
"politics-l1-17","1","Hvilken organisasjon fungerer som fredsbevarende kraft for FN?","FN-styrker","NATO","EU","OECD"
"politics-l1-18","1","Hvor mange medlemmer har Norge i NATO?","32","28","30","25"
"politics-l1-19","1","Hva kalles det når en regjering må gi seg?","Regjeringskrise","Valg","Oppløsning","Kuppforsøk"
"politics-l1-20","1","Hva er hovedstaden i Finland?","Helsinki","Turku","Tampere","Oulu"
"politics-l1-21","1","Hvor ligger Stortinget i Norge?","Oslo","Bergen","Trondheim","Stavanger"
"politics-l1-22","1","Hvor mange år må en person minimum være for å bli statsminister i Norge?","18 år","21 år","25 år","30 år"
"politics-l1-23","1","Hva kalles det største partiet på Stortinget?","Regjeringspartiet eller største opposisjonsparti","Mindretallsparti","Koalisjonsparti","Støtteparti"
"politics-l1-24","1","Hvor mange mennesker bor det omtrent i Norge per 2024?","5,5 millioner","3,5 millioner","7,5 millioner","4,5 millioner"
"politics-l1-25","1","Hva kalles en politiker som ikke tilhører noe parti?","Uavhengig","Frittalende","Upartisk","Løs"
"politics-l1-26","1","Hvem er øverste leder av FN?","António Guterres","Ban Ki-moon","Kofi Annan","Dag Hammarskjöld"
"politics-l1-27","1","I hvilket år ble Norge medlem av FN?","1945","1947","1949","1951"
"politics-l1-28","1","Hva kalles det når et land styres av en konge eller dronning?","Monarkiet","Republikkk","Diktatur","Demokratiet"
"politics-l1-29","1","Hvor mange borgermestere har hver kommune i Norge?","1","2","3","5"
"politics-l1-30","1","Hva kalles det største politiske systemet i Norden?","Nordisk parlamentarisme","Skandinavisk monarkisme","Baltisk republikanisme","Engelsk parlamentarisme"
"politics-l1-31","1","I hvilket år ble kvinnestemmeretten innført i hele Norge?","1913","1911","1915","1909"
"politics-l1-32","1","Hva kalles det når en politiker blir valgt til et embete?","Valgt","Utnevnt","Oppnevnt","Etablert"
"politics-l1-33","1","Hvor mange dager er det fra valget til det nye Stortinget tar sitt arbeid?","Omtrent 2 måneder","Omtrent 1 uke","Omtrent 1 måned","Omtrent 3 måneder"
"politics-l1-34","1","Hva kalles det norske styringssystemet?","Parlamentarisk demokrati","Presidensielt system","Absolutt monarkisme","Direkte demokrati"
"politics-l1-35","1","Hvor mange fylker grenser til Sverige?","7","5","9","6"
"politics-l1-36","1","Hva kalles medlem av Stortinget?","Stortingsrepresentant","Senator","Representant","Parlamentariker"
"politics-l1-37","1","Hvor mange år varte den norsk-svenske unionen?","91 år","85 år","100 år","75 år"
"politics-l1-38","1","Hva kalles det når landet styres av et parti alene?","Enepartiregj­ering","Koalisjonsregjering","Mindretallsregjering","Diktatur"
